date,Taker Buy Ratio
2022-07-05,0.50429906
2022-07-06,0.51373194
2022-07-07,0.51567691
2022-07-08,0.506278
2022-07-09,0.50505676
2022-07-10,0.48762209
2022-07-11,0.49400821
2022-07-12,0.49592842
2022-07-13,0.51506763
2022-07-14,0.51851541
2022-07-15,0.51598209
2022-07-16,0.52051526
2022-07-17,0.50018646
2022-07-18,0.51383478
2022-07-19,0.50047201
2022-07-20,0.49756683
2022-07-21,0.50689513
2022-07-22,0.49929684
2022-07-23,0.49843781
2022-07-24,0.51011408
2022-07-25,0.48608927
2022-07-26,0.50102963
2022-07-27,0.51337302
2022-07-28,0.50832552
2022-07-29,0.4936272
2022-07-30,0.4927651
2022-07-31,0.49754198
2022-08-01,0.48921464
2022-08-02,0.50388909
2022-08-03,0.49764087
2022-08-04,0.49101486
2022-08-05,0.50695845
2022-08-06,0.49150926
2022-08-07,0.49821646
2022-08-08,0.51015337
2022-08-09,0.47978011
2022-08-10,0.51095054
2022-08-11,0.49915373
2022-08-12,0.50807716
2022-08-13,0.50373
2022-08-14,0.49143134
2022-08-15,0.49400674
2022-08-16,0.49124504
2022-08-17,0.49272205
2022-08-18,0.50371769
2022-08-19,0.4883344
2022-08-20,0.49832168
2022-08-21,0.50316734
2022-08-22,0.50516571
2022-08-23,0.51086139
2022-08-24,0.50342323
2022-08-25,0.51075812
2022-08-26,0.488908
2022-08-27,0.49935406
2022-08-28,0.49832972
2022-08-29,0.51689151
2022-08-30,0.50060595
2022-08-31,0.50803184
2022-09-01,0.50376283
2022-09-02,0.50598765
2022-09-03,0.493107
2022-09-04,0.50457522
2022-09-05,0.51274315
2022-09-06,0.49946063
2022-09-07,0.50875902
2022-09-08,0.50582109
2022-09-09,0.51392726
2022-09-10,0.51098283
2022-09-11,0.49312357
2022-09-12,0.49695064
2022-09-13,0.49257042
2022-09-14,0.49702773
2022-09-15,0.48772954
2022-09-16,0.49409809
2022-09-17,0.50366457
2022-09-18,0.48176163
2022-09-19,0.5077
2022-09-20,0.4976247
2022-09-21,0.49814486
2022-09-22,0.51127282
2022-09-23,0.49908346
2022-09-24,0.50106248
2022-09-25,0.48682002
2022-09-26,0.50922492
2022-09-27,0.50284139
2022-09-28,0.50045107
2022-09-29,0.50412786
2022-09-30,0.5044025
2022-10-01,0.4844761
2022-10-02,0.48571751
2022-10-03,0.51199578
2022-10-04,0.51610105
2022-10-05,0.50063008
2022-10-06,0.50138619
2022-10-07,0.49565588
2022-10-08,0.47295822
2022-10-09,0.50039883
2022-10-10,0.48765928
2022-10-11,0.49692495
2022-10-12,0.50955023
2022-10-13,0.49385914
2022-10-14,0.50597229
2022-10-15,0.48378283
2022-10-16,0.51240129
2022-10-17,0.5118067
2022-10-18,0.48305967
2022-10-19,0.49047039
2022-10-20,0.49851175
2022-10-21,0.50221865
2022-10-22,0.52097944
2022-10-23,0.53043337
2022-10-24,0.49541856
2022-10-25,0.5220733
2022-10-26,0.5105566
2022-10-27,0.49248172
2022-10-28,0.49744396
2022-10-29,0.5098504
2022-10-30,0.49233861
2022-10-31,0.49587386
2022-11-01,0.50124885
2022-11-02,0.48965065
2022-11-03,0.50819802
2022-11-04,0.51026596
2022-11-05,0.49046244
2022-11-06,0.48045012
2022-11-07,0.49392728
2022-11-08,0.48992478
2022-11-09,0.4943773
2022-11-10,0.50999025
2022-11-11,0.49912404
2022-11-12,0.49772723
2022-11-13,0.48965596
2022-11-14,0.50503271
2022-11-15,0.50290739
2022-11-16,0.49015245
2022-11-17,0.49435895
2022-11-18,0.50188324
2022-11-19,0.50921605
2022-11-20,0.48402052
2022-11-21,0.49494842
2022-11-22,0.51370869
2022-11-23,0.51217936
2022-11-24,0.50037636
2022-11-25,0.50791205
2022-11-26,0.50770538
2022-11-27,0.49842241
2022-11-28,0.50020787
2022-11-29,0.52730581
2022-11-30,0.52079559
2022-12-01,0.49692443
2022-12-02,0.50282416
2022-12-03,0.4689402
2022-12-04,0.52100283
2022-12-05,0.48621029
