date,Binance,Bitget,Bitstamp,Bybit,Crypto.com,Gate.io,HTX,Kraken
2025-11-16,16769095928.60665,1630860949.1077633,490208851.252939,3236200566.143664,2786469080.395061,2734872594.891511,2570208346.383354,804913312.9557034
2025-11-17,25664699273.12246,1868966447.8802607,735758917.6158015,4280967348.51594,4646417830.23477,3660109099.967227,3364384330.1403527,1806485276.9176388
2025-11-18,24618394426.233284,2451196648.122802,793081541.032484,4461543796.693934,4450722983.145273,3802310890.393696,3469256201.913967,1760978922.181934
2025-11-19,22408470901.680405,1959282235.0199907,669824744.0760489,3904034510.436258,4118600051.774437,3613281598.3722014,3089591258.423276,1862399535.898877
2025-11-20,25546836534.06495,2073036877.8242192,827822044.8199947,4433107909.852504,4416832011.265847,3817264887.942312,3454702346.115137,2042531259.374057
2025-11-21,35378615291.89811,2858321632.5930824,1184490419.9152288,5726867322.652634,6446171096.330241,4662899882.456863,4604047338.504411,2353782309.3918014
2025-11-22,11718906446.76581,1196949014.086408,311960231.27574986,2204717856.9034595,1969347574.8496344,2219418104.959964,2006925642.9159265,533356007.2201057
2025-11-23,12295654225.414783,1308809150.1344323,390981053.8985789,2671638771.37052,2132432536.4132376,2376012509.589332,1985422929.251928,630595229.5801965
2025-11-24,19584590329.403023,1890006828.433744,661595771.4772847,3868251728.049837,3659461796.505764,2501676737.990139,3019750758.237254,1470255075.4659505
2025-11-25,16219433698.02506,1585661571.8398378,514777118.1641727,3368584583.305309,2823059478.800269,2008729290.041364,4090432602.957392,1306855339.4023173
2025-11-26,16039737972.646074,1366926909.0421886,505673369.56366354,3321360207.773678,2383212203.293067,2660419371.369781,4409679247.957623,1402380482.200308
2025-11-27,12772906254.23098,1132410100.996694,327980960.8593102,2568305057.349711,1674625050.7228692,2278530448.3061743,4013881243.9878273,923731903.5451332
2025-11-28,15384180126.220566,1313315562.8760982,477886639.2658671,2701714925.02815,2533598551.0913444,2687125251.024713,3872661457.517026,1118885503.9898925
2025-11-29,7136950223.92119,850610437.1031305,154904964.12685996,1505078544.330288,1008694588.8171712,1557971281.0726907,2523027626.283736,304466623.55329
2025-11-30,7242858860.184049,801149235.8206335,179705434.03025815,1660583779.8850164,1096070784.9817605,1723079769.5357642,2548899945.782184,354271109.01411146
2025-12-01,20821970387.91629,1788511880.5243373,735171888.7690239,3899573565.8877454,4650736901.593819,3484660899.172636,5318191878.93277,1803771766.1211529
2025-12-02,16763226249.893513,1811272606.066089,710542867.0855391,3327162361.0064554,3515524170.0057826,2949410974.395632,4638796613.54875,1415424770.0593295
2025-12-03,16589175708.136375,2059867123.662676,721517940.7600794,3209669177.700161,3754429512.139263,2943880138.478637,4979912448.81788,1448899870.4059927
2025-12-04,13813706626.232262,1676104645.6075938,452277011.3464351,2531035226.124765,3092086206.459676,2241809173.23743,3381068192.656832,1093462237.9297724
2025-12-05,15033133754.899391,1516374401.433416,514459922.7826992,2610593468.4955745,3274875902.897712,2252601325.5185213,3026250534.591877,1202149931.0747976
2025-12-06,6444492151.158456,929565981.8146406,171930012.05970925,1198799493.752122,1036326380.016479,1291645234.9557197,1681355892.1888154,273460707.63308233
2025-12-07,9813813002.130062,1234171461.72164,371688471.7567679,2059110388.6182456,2006590773.1926973,1862735348.244817,2270679733.3954816,440658509.188911
2025-12-08,12982707768.87711,1292434954.004362,477535024.23117626,2484461737.7836304,2997697458.0255103,2157587581.2154274,2775166572.3830013,1132712496.3759837
2025-12-09,16862549885.047377,1404825448.6647117,569518893.8729618,3304843806.7197337,3084378395.187201,2683249699.154148,3275814073.5358334,1479708987.589164
2025-12-10,16315662105.25598,1575429180.3244534,556530032.2594512,3127226153.0678964,3037660777.216214,2742469955.47061,3229167393.0867286,1323347218.5177343
2025-12-11,15670563213.96921,1783235866.1468682,619925353.6938447,2985556234.224962,3317249040.78098,2615318660.208289,3259286354.918859,1482850779.2449362
2025-12-12,13308808643.00822,1794583696.446706,462051248.39505845,2520669494.419737,2350357802.244227,2212504248.192439,2644742140.808394,1146463101.8946548
2025-12-13,4884270332.353956,1008401620.84265,125922548.69090876,1593793153.5753417,541579467.2635692,1310240784.6509323,1365440611.8693564,259079961.473156
2025-12-14,7076428215.379343,1349541840.506305,415765983.4481975,1538330371.0270612,1240735710.7016718,1705729266.0944762,1804744296.1036592,465432850.8604176
2025-12-15,14927397318.776363,1737769008.0716734,554182610.8932118,3823600612.896359,2941811702.0954256,2611675765.8300653,2329415372.253298,1467279415.3452494
2025-12-16,12430033280.85105,1392393506.5954852,472582235.645336,3096148785.122645,2956161305.2027392,2144467508.200765,2012561289.0159729,1188831202.4616442
2025-12-17,14683808914.216896,1383114780.4830022,554059928.0188284,3196564460.2213097,3018893699.8660283,2189122626.254388,2204978651.2050905,1464177525.2157946
2025-12-18,15941845770.038502,1439596163.860392,632929286.7355686,3912496056.501349,3168458408.7201595,2372781293.326749,2882646340.68835,1609225547.290276
2025-12-19,15851962648.37777,1424694616.181837,527745898.1096822,4351697589.70506,2667222130.4242,2286218189.1306543,2703213686.6130524,1345049698.4619656
2025-12-20,4339157441.870079,880403766.7965329,123024946.00281207,3975124598.336619,461324091.83052325,1108890863.6723986,1337333815.3418355,332007939.58891445
2025-12-21,5220342260.223473,1189858362.8217142,182313957.07015625,6227265211.787684,885507622.1118203,1614475277.8090312,1874173985.5033865,421016623.7374193
2025-12-22,11077177130.01225,1335345991.4065406,483595725.7621112,6270625616.83154,2436143366.0227795,2310220869.7529864,2869106482.580471,1308939686.1013908
2025-12-23,10072759164.336245,1592570992.8326886,379471269.665902,2195648677.294082,1983777830.679588,2394409896.276825,1925000076.812493,1188647235.2733026
2025-12-24,8570803907.087112,1679379679.038975,266527049.7413148,1741751517.769547,1342781663.0838225,2053639121.7670395,1569399370.540004,886701756.7321317
2025-12-25,6551134526.54592,1321100141.593761,192299345.80120724,1288042894.0243163,799934369.1233071,1662671447.305329,1332232250.112521,433690496.294251
2025-12-26,11065218302.029512,1250333522.279673,335157524.6847582,2181126787.402515,1814114543.150438,2166540880.631754,2094583818.0531423,845446048.4391531
2025-12-27,4534506864.623851,709172134.003547,99669527.32021968,947356629.7795546,353209730.1217078,965621002.4692632,1033130648.4583354,261938891.44700187
2025-12-28,5067657650.825222,839044791.0072861,106676170.64164189,1015489841.9642332,481708476.83842313,1206307489.392127,1077674187.4425566,294256822.0769222
2025-12-29,14468429553.825205,1583253883.3846622,462255640.3531823,3097462937.800814,2300091756.430968,3004040631.597515,2612445873.7624807,1564981153.388073
2025-12-30,10598433886.930237,1363745190.1997724,336981035.9135362,2447190824.7101684,1669490501.03346,2462249662.328747,1994403671.6226072,1149555902.948928
2025-12-31,12553317337.610865,1053525349.4821244,356161970.571959,1888636092.8751285,1198853312.4506595,2143629165.1871417,1742442246.3475523,976621985.147319
2026-01-01,6727518874.222014,705960779.609563,218683521.2322114,1100617979.916034,518616772.2834732,1376285617.4333005,1263911746.43213,597642617.6385572
2026-01-02,15869066085.93376,1363470784.3461373,604470897.8025492,2535518154.2352014,2357448772.81225,2559131578.469744,2471001532.057845,1392178294.7238977
2026-01-03,6968446554.385326,945070359.0784163,186079452.8926528,1288787222.951029,624544066.0675813,1613562033.855757,1512302979.7065842,506844405.8630658
2026-01-04,8944790483.523525,1216801585.3980489,250901896.1437761,1607831227.4850788,941317577.6714633,2020311919.3004408,1884493605.6440923,526775658.3348319
2026-01-05,17110003668.62536,1849198752.3764727,650371907.6507162,3080672402.846143,2573016845.3540974,3246518083.7943063,2781861867.459476,1683933274.40674
2026-01-06,19212811050.923805,1973793017.0746584,611261334.7272604,3192047721.067706,2654164209.374924,3170719101.045964,2878520497.526259,1585184203.888347
2026-01-07,15327249501.232786,1277765485.8797047,465434310.8417888,2493777464.8106327,2172932016.196857,2428752569.3042536,2244920425.968448,1140474557.4521122
2026-01-08,14746542985.403128,1478391502.371751,526080565.2461273,2546282544.3214,2354261922.1271896,2429715396.3122883,2360329529.902456,1206582252.3502889
2026-01-09,12118931305.342377,1313809649.6075127,492955835.0047859,2143847943.459715,2589821028.945238,2065856897.878179,1983162418.8468647,1124294350.4665012
2026-01-10,4220791166.604781,630152365.9950507,183467285.6458332,736550687.8082465,391208849.0766055,879977468.5934397,845508873.9249934,245303860.2438483
2026-01-11,5674948404.457264,889552913.3242489,230647146.00132403,1036191784.90964,718512566.2615113,1203897802.0068042,1072653570.650893,424398643.8783234
2026-01-12,12632877439.727749,1656488394.8306248,470951637.3446432,2415502031.3644075,2807578606.326556,2518574199.275019,2182341805.020734,1532963712.8895404
2026-01-13,17665742210.019302,1923686747.8779893,742484038.264091,2997957374.261813,3286443136.773682,2980811119.4260497,2912792785.616997,1657317073.5397234
2026-01-14,19682013569.50137,1942155478.5254648,841645516.2241997,3289130419.5694165,3351114182.674816,3419709078.1034064,3359189057.8303246,1928554901.9690435
2026-01-15,14604916171.61354,1609478533.4214945,494593088.6505649,2667018506.168452,2998957807.2084165,2815980484.479834,2545147305.5249014,1305060131.9166937
2026-01-16,10568548747.93296,1144524821.183805,349681281.3519837,1949613422.3524845,2020073919.974944,1905804772.8361712,1802586631.124817,1099975205.8726964
2026-01-17,5541052583.99149,724252974.58294,103306377.84458806,922138127.735412,560719008.6005523,1089713108.657894,1176791485.471105,326868625.9468161
2026-01-18,6828130387.910122,895558298.5535817,164857070.73446244,1236743082.4995017,814717076.9287019,1460074349.6040356,1282283046.0436022,448496529.7680493
2026-01-19,14165821160.938438,1560184180.8885424,379557013.666243,2374646226.273452,2077480849.888694,2607011941.0741568,2564807766.793164,1339889756.8588812
2026-01-20,17832768705.536976,2005424519.0586145,689607566.8051091,3144069959.29266,3265524669.127117,3166631111.4194674,2746417636.8606105,1774655214.0177803
2026-01-21,17667382436.125698,2305345096.85936,684714661.7130392,3304749656.690624,4156755707.593727,3412443943.221164,2843489762.308688,1919808147.944952
2026-01-22,10509456928.336868,1685971294.534136,338436315.3543995,2593333864.719396,2386937295.0891137,2446189402.572708,2016559253.7490733,1021427190.4403982
2026-01-23,14300435205.043749,1437265487.853188,393472602.1739949,2604223035.0071497,2243131852.019211,2306942275.09022,1922875461.4293203,1107206741.670818
2026-01-24,5438034884.872416,855207702.1026506,96243649.40921846,1044432981.3475064,402961234.03235793,1102229787.7317443,773537123.8256841,293114266.8814605
2026-01-25,10999571305.324112,1732436994.091429,324431515.3632278,2141850076.144561,1746229821.8002946,2499410732.961514,1865660814.0812368,797892086.1620567
2026-01-26,13661793276.592451,2371982462.167636,422430846.561637,2686316944.249731,2540003308.8165035,2861708223.3609347,1746687805.5956726,1294087465.0629597
2026-01-27,12435007933.15275,1852291056.8748388,404317529.3496784,2639563778.014547,2335762102.202753,2403084091.034558,1518483512.196317,1345559119.7912087
2026-01-28,11889625059.099916,2165154344.9021425,382221763.0008518,2776274556.8526163,2715501694.2676187,2461995256.3005986,1573390242.4734056,1279557038.5159545
2026-01-29,23261554017.74768,2383122788.274315,598924812.5643235,3311221736.948749,3388246271.9528303,3108324000.9463687,2061869553.3526733,1790997103.0480638
2026-01-30,18496031828.466084,2568112401.0994167,784815730.8881465,3830410740.900077,4617179751.459399,3411862928.1437635,2002779679.1790595,1931705105.7831705
2026-01-31,18573904449.02169,3189588425.3838377,852783415.7171557,3899360910.902817,4472116805.815333,3635218182.9666224,2377167582.9199166,1568028931.7732854
2026-02-01,12579650909.602385,2533279741.598628,515611959.59598273,2919810407.3358145,4210972026.2877607,2892691639.1860785,1917842659.3444,874992912.4839749
2026-02-02,18823553917.605373,2843858511.315578,867714757.2006701,4077019029.294836,4556825049.873668,3576848313.225645,2147890109.150823,1866469255.4708269
2026-02-03,17401662584.57852,2717566187.9237657,856520599.4490372,3512263356.6894827,4213648527.791413,3385501471.340666,1940828547.114646,1898402832.372604
2026-02-04,16497274643.236616,2629651804.091701,842286376.5096664,3279296857.356222,4167559969.8862953,3219592627.433127,3081018241.782731,1917126379.15089
