date,Aave,Benqi Finance,Compound,Euler,Fluid,Goldfinch,Jupiter,Kamino,Liquity,Lista,Maker,Moonwell,Morpho,Seamless Protocol,Sonne Finance,Spark,Maple,Tydro,Venus
2022-08-21,11731370365.269094,390755722.0626876,3060356442.788243,0.0,0.0,95273726.18571948,0.0,0.0,594423826.209575,0.0,8293838003.279709,0.0,0.0,0.0,0.0,0.0,417188848.7685714,0.0,1106997877.0455112
2022-08-28,10570990060.270817,349289059.89061165,2959275300.1312103,0.0,0.0,95027340.9842199,0.0,0.0,537098133.9909117,0.0,7883200635.025722,0.0,0.0,0.0,0.0,0.0,334803114.00285715,0.0,1053582256.7677584
2022-09-04,10137376897.377186,312483078.8041476,2839480056.226303,0.0,0.0,94810624.32150789,0.0,0.0,515631300.7843124,0.0,7818529235.928605,0.0,0.0,0.0,0.0,0.0,316424932.87142855,0.0,1037340127.1642964
2022-09-11,10542103962.078882,300713137.18056524,3069216064.349273,0.0,0.0,94731286.79070866,0.0,0.0,524451914.7963357,0.0,8161754335.224596,0.0,0.0,0.0,0.0,0.0,283494218.5857143,0.0,1037519780.1105708
2022-09-18,10001426714.775988,274100368.0395542,3118507919.3196983,0.0,0.0,94524032.93510768,0.0,0.0,475021909.1188598,0.0,7612114964.950421,0.0,0.0,0.0,0.0,0.0,303729575.7285714,0.0,1045181889.3367152
2022-09-25,8788696453.5684,273498470.70535815,3003449626.7411904,0.0,0.0,94129240.54148582,0.0,0.0,414403534.9377527,0.0,7146310202.714661,0.0,0.0,0.0,0.0,0.0,299029575.7285714,0.0,977051118.5037746
2022-10-02,8681722834.490448,268183114.7109714,3245122774.396909,0.0,0.0,93634663.49980868,0.0,0.0,420056574.53913945,0.0,7234441414.170038,0.0,0.0,0.0,4470526.3948828615,0.0,299601004.3,0.0,985404556.8678336
2022-10-09,8568794079.675264,254648843.68041405,3216141151.607646,0.0,0.0,93106668.4410131,0.0,0.0,419993852.35205096,0.0,7581205237.235221,0.0,0.0,0.0,31244233.024338063,0.0,293456547.1571428,0.0,1078816194.605929
2022-10-16,8176551728.331862,235807889.27386764,3201132498.969555,0.0,0.0,92979798.1942277,0.0,0.0,415824864.70077103,0.0,7555242837.331853,0.0,0.0,0.0,40622189.28494807,0.0,283259279.3,0.0,1191856010.4433198
2022-10-23,7764562020.889862,221288202.8654003,3181167280.3053503,0.0,0.0,92764439.74536867,0.0,0.0,422145574.9385079,0.0,7621382799.873645,0.0,0.0,0.0,55432038.67104753,0.0,265375707.8714285,0.0,1192995349.7823718
2022-10-30,8329411451.996073,222736946.89522463,3212143699.5225368,0.0,0.0,92521871.9427084,0.0,0.0,487349301.2528607,0.0,8024037348.054338,0.0,0.0,0.0,56870839.41910692,0.0,257969015.42857143,0.0,1244875015.683004
2022-11-06,7993452952.199379,217708124.2568321,3081683085.2545066,0.0,0.0,92446201.67383637,0.0,0.0,524175566.6903356,0.0,7967376063.642926,0.0,0.0,0.0,82439469.79263116,0.0,263754325.42857143,0.0,1608137295.8228817
2022-11-13,7035127681.874586,171353199.63511887,2843593426.989512,0.0,0.0,92303360.2458568,0.0,0.0,459045790.48572487,0.0,6904145373.956392,0.0,0.0,0.0,103813310.4603535,0.0,193960925.42857143,0.0,1346730190.4748654
2022-11-20,6430789486.226808,132558020.42103092,2462988978.7218986,0.0,0.0,92040097.85581928,0.0,0.0,435212962.4331625,0.0,6597974086.862364,0.0,0.0,0.0,87697630.38274665,0.0,142719782.57142857,0.0,1219818779.1470115
2022-11-27,5795305262.074113,135200320.96805233,2360200245.845389,0.0,0.0,91868340.18481426,0.0,0.0,407288841.1710654,0.0,6443386903.548513,0.0,0.0,0.0,84458001.2056146,0.0,124578246.85714284,0.0,1497567220.7403991
2022-12-04,5747089796.832742,144576479.44605705,2363935266.0525675,0.0,0.0,92308845.64050172,0.0,0.0,432304158.39860326,0.0,6575724380.755724,0.0,0.0,0.0,73394605.71100841,0.0,121723604.0,0.0,1572613696.0714586
2022-12-11,5793224602.711428,142825081.64499897,2430748352.178666,0.0,0.0,93015944.13304698,0.0,0.0,438445983.27542496,0.0,6269038505.010531,0.0,0.0,0.0,60325903.00260004,0.0,91336876.85714284,0.0,1272421582.21698
