date,Avantis - Perpetuals Daily Active Users,dYdX v4 - Perpetuals Daily Active Users,Gains Network - Perpetuals Daily Active Users,GMX - Perpetuals Daily Active Users,Holdstation - Perpetuals Daily Active Users,Hyperliquid - Perpetuals Daily Active Users,Jupiter - Perpetuals Daily Active Users,Mux Protocol - Perpetuals Daily Active Users,Paradex - Perpetuals Daily Active Users,Perpetual Protocol - Perpetuals Daily Active Users,Vertex Protocol - Perpetuals Daily Active Users
2024-07-14,779.1428571428571,428.57142857142856,206.0,982.5714285714286,1435.142857142857,9167.0,3576.0,64.28571428571429,0.0,77.85714285714286,466.1428571428572
2024-07-21,736.7142857142857,540.7142857142857,229.42857142857144,1107.428571428571,1401.2857142857142,9469.42857142857,4226.857142857143,101.28571428571428,0.0,67.71428571428571,487.4285714285714
2024-07-28,705.4285714285714,536.4285714285714,220.0,992.2857142857144,1502.428571428571,19384.85714285714,4389.857142857143,101.14285714285714,0.0,76.42857142857143,439.7142857142857
2024-08-04,682.2857142857143,667.2857142857143,235.57142857142856,1252.0,1883.428571428572,12749.142857142857,5894.571428571428,111.57142857142856,0.0,87.57142857142857,399.1428571428572
2024-08-11,556.7142857142857,723.2857142857143,231.28571428571428,1552.857142857143,2234.0,10462.0,6381.142857142857,81.85714285714286,0.0,100.28571428571428,440.0
2024-08-18,502.1428571428572,680.7142857142857,191.28571428571428,814.1428571428571,2216.1428571428573,8781.57142857143,4073.428571428572,71.0,0.0,62.42857142857143,257.85714285714283
2024-08-25,492.0,750.1428571428571,217.0,880.4285714285714,2234.1428571428573,7744.0,4237.857142857143,71.14285714285714,0.0,49.0,264.0
2024-09-01,487.4285714285714,775.0,217.1428571428572,887.4285714285714,2229.5714285714284,8796.42857142857,4975.0,84.14285714285714,0.0,42.85714285714285,227.0
2024-09-08,486.57142857142856,798.7142857142857,199.8571428571429,1401.142857142857,1815.857142857143,8650.0,4568.0,77.28571428571429,0.0,62.42857142857143,293.2857142857143
2024-09-15,391.8571428571428,840.0,197.42857142857144,842.0,1886.3333333333333,7443.285714285715,4257.285714285715,70.57142857142857,0.0,39.0,276.0
2024-09-22,367.4285714285714,886.7142857142857,220.0,900.1428571428571,1848.6666666666667,8187.285714285715,5373.0,79.14285714285714,0.0,35.142857142857146,220.42857142857144
2024-09-29,401.4285714285714,954.2857142857144,223.0,921.4285714285714,1826.428571428572,8779.0,5470.142857142857,72.28571428571429,0.0,31.142857142857142,225.8571428571429
