date,Exchange Inflow (Total)
2019-11-22,326307839.802851
2019-11-23,149514003.758527
2019-11-24,133761140.795249
2019-11-25,319923768.938454
2019-11-26,176439185.68651
2019-11-27,237021457.948339
2019-11-28,187786075.233414
2019-11-29,268260309.018975
2019-11-30,120407914.836546
2019-12-01,120237203.963467
2019-12-02,161041018.723154
2019-12-03,163570376.271031
2019-12-04,195503204.002232
2019-12-05,193784447.535493
2019-12-06,169791749.34802
2019-12-07,112662534.148538
2019-12-08,54329306.603449
2019-12-09,202438217.157705
2019-12-10,405761313.982614
2019-12-11,179656213.786153
2019-12-12,173558839.088806
2019-12-13,130801396.097995
2019-12-14,108617417.268852
2019-12-15,82277392.422529
2019-12-16,199832723.28268
2019-12-17,187334436.842286
2019-12-18,218842016.347067
2019-12-19,216393744.935845
2019-12-20,150956735.60517
2019-12-21,86893519.098069
2019-12-22,82561168.498777
2019-12-23,250535511.896345
2019-12-24,151864726.773297
2019-12-25,112414357.907784
2019-12-26,143444910.230213
2019-12-27,149811616.534038
2019-12-28,78311431.336135
2019-12-29,87025254.54837
2019-12-30,163496021.427176
2019-12-31,119579461.453043
2020-01-01,57461324.489672
2020-01-02,108338825.890371
2020-01-03,165852910.30398
2020-01-04,95644218.885785
2020-01-05,79217107.233445
2020-01-06,168658609.571675
2020-01-07,179579320.709574
2020-01-08,192723866.674781
2020-01-09,160677308.893063
2020-01-10,166201786.88877
2020-01-11,112904071.174188
2020-01-12,83481040.927116
2020-01-13,174759822.094226
2020-01-14,283055639.813228
2020-01-15,225508455.946842
2020-01-16,196335664.434698
2020-01-17,217103168.571062
2020-01-18,126857373.300311
2020-01-19,159377969.72974
2020-01-20,152308432.736715
2020-01-21,184349937.248849
2020-01-22,143053513.864498
2020-01-23,151465891.568834
2020-01-24,98876925.937734
2020-01-25,42187145.101464
2020-01-26,54841250.109441
2020-01-27,124199194.152232
2020-01-28,112988140.228908
2020-01-29,145409692.37896
2020-01-30,131638150.907513
2020-01-31,152541285.576553
2020-02-01,84264901.275677
2020-02-02,95705278.640498
2020-02-03,197383589.996134
2020-02-04,188159939.772756
2020-02-05,227080513.874308
2020-02-06,251062223.201703
2020-02-07,191827722.002603
2020-02-08,145738799.26302
2020-02-09,163218480.005146
2020-02-10,203771265.163998
