asset_i,asset_j,quantile,joint_probability,independence_probability,conditional_probability,excess_probability,excess_ci_low,excess_ci_high,block_length,bootstrap_reps,primary_specification,n,sample_start,sample_end
BNB,UNI,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00238005979917943,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
BNB,XLM,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00289102690294385,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
BNB,XRP,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
BTC,DOGE,0.01,0.00498504471033812,0.0001,0.498504471033812,0.00488504471033812,0.00189401803072542,0.00837457645684481,10,2000,True,2006,2021-01-02,2026-06-30
BTC,DOT,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00289102690294385,0.00938404817134142,10,2000,True,2006,2021-01-02,2026-06-30
BTC,ETH,0.01,0.00697906268760562,0.0001,0.697906268760562,0.00687906268760562,0.0033895312808454,0.0113656036555767,10,2000,True,2006,2021-01-02,2026-06-30
BTC,LINK,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
BTC,LTC,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00239252229221165,0.00887308083474636,10,2000,True,2006,2021-01-02,2026-06-30
BTC,SNX,0.01,0.00448654033243656,0.0001,0.448654033243656,0.00438654033243656,0.00139551353640854,0.00787607207894325,10,2000,True,2006,2021-01-02,2026-06-30
BTC,UNI,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00239252229221165,0.00888554379343987,10,2000,True,2006,2021-01-02,2026-06-30
BTC,XLM,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00239252229221165,0.00887308083474636,10,2000,True,2006,2021-01-02,2026-06-30
BTC,XRP,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00239252229221165,0.00937158521264791,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,DOT,0.01,0.00448654033243656,0.0001,0.448654033243656,0.00438654033243656,0.00189401803072542,0.00787607207894325,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,ETH,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00239252229221165,0.00937158521264791,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,LINK,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,LTC,0.01,0.00498504471033812,0.0001,0.498504471033812,0.00488504471033812,0.00189401803072542,0.00838703941553831,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,SNX,0.01,0.00448654033243656,0.0001,0.448654033243656,0.00438654033243656,0.00139551353640854,0.00837457645684481,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,UNI,0.01,0.00498504471033812,0.0001,0.498504471033812,0.00488504471033812,0.00189401803072542,0.00887308083474636,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,XLM,0.01,0.00498504471033812,0.0001,0.498504471033812,0.00488504471033812,0.00189401803072542,0.00837457645684481,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,XRP,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00239252229221165,0.00937158521264791,10,2000,True,2006,2021-01-02,2026-06-30
DOT,ETH,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00289102690294385,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
DOT,LINK,0.01,0.00747756706550717,0.0001,0.747756706550717,0.00737756706550717,0.0033895312808454,0.0118641080334783,10,2000,True,2006,2021-01-02,2026-06-30
