date,bitvenus,hibt,bitlo,coinsquare,hashkey-global,bitmart,levex,lbank,hotcoin,woo-x,cex.io,probit-global,nonkyc,p2pb2b,exmo,bitomato,nbx,tothemoon,btse,coinw,arkham-exchange,fastex,latoken,tradeogre,grovex
2023-09-05,4159,,,-192839,,,,,,417065,,,,,,,-39087,,,,,,-40458,,
2023-09-06,6344,,,451402,,,,,,-1776279,,,,,,,-18724,,,,,,15980,,
2023-09-07,-148303,,,315411,,,,,,602060,,,,,,,80308,,,,,,-2819,,
2023-09-08,46835,,,584302,,,,,,790507,,,,,,,181860,,,,,,75427,,
2023-09-09,-556146,,,-757094,,,,,,-1551200,,,,,,,-235889,,,,,,-67350,,
2023-09-10,-4037,,,-87436,,,,,,-675109,,,,,,,-37683,,,,,,-13906,,
2023-09-11,-9568,,,-231478,,,,,,-799740,,,,,,,-56551,,,,,,-42108,,
2023-09-12,-117181,,,-1140663,,,,,,-1371834,,,,,,,-402487,,,,,,-228252,,
2023-09-13,94654,,,1126614,,,,,,-1772718,,,,,,,402062,,,,,,181362,,
2023-09-14,20288,,,567078,,,,,,2093989,,,,,,,114412,,,,,,40008,,
2023-09-15,42520,,,616776,,,,,,528452,,,,,,,136128,,,,,,74719,,
2023-09-16,24692,,,554306,,,,,,7199094,,,,,,,285899,,,,,,70808,,
2023-09-17,-29422,,,-313830,,,,,,294981,,,,,,,-122115,,,,,,-66406,,
2023-09-18,-17920,,,-229427,,,,,,-1416707,,,,,,,-65281,,,,,,-40079,,
2023-09-19,37399,,,1215386,,,,,,842539,,,,,,,139877,,,,,,47896,,
2023-09-20,123743,,,-160674,,,,,,1280710,,,,,,,213291,,,,,,63902,,
