date,Block Size (Mean)
2011-09-10,21831.64661654
2011-09-11,23454.184
2011-09-12,23229.7518797
2011-09-13,19008.77464789
2011-09-14,18007.03424658
2011-09-15,18239.50641026
2011-09-16,22135.88235294
2011-09-17,17116.02985075
2011-09-18,15729.11392405
2011-09-19,24278.22834646
2011-09-20,28120.85714286
2011-09-21,25639.13013699
2011-09-22,17998.05405405
2011-09-23,20118.94736842
2011-09-24,20834.70542636
2011-09-25,19060.62043796
2011-09-26,18030.19402985
2011-09-27,19895.79699248
2011-09-28,16838.65986395
2011-09-29,18062.36
2011-09-30,19798.92622951
2011-10-01,16188.39160839
2011-10-02,17314.66942149
2011-10-03,18042.48965517
2011-10-04,22648.46428571
2011-10-05,16945.2
2011-10-06,20312.4765625
2011-10-07,17897.07971014
2011-10-08,19187.79831933
2011-10-09,18206.56692913
2011-10-10,19697.70731707
2011-10-11,29022.48387097
2011-10-12,21547.95
2011-10-13,21946.57731959
2011-10-14,18939.82014388
2011-10-15,17403.43283582
2011-10-16,18075.22689076
2011-10-17,22782.31355932
2011-10-18,17740.025
2011-10-19,16536.27819549
2011-10-20,16291.30434783
2011-10-21,16213.52066116
2011-10-22,22048.85714286
2011-10-23,21027.33333333
2011-10-24,19272.40944882
2011-10-25,16969.19379845
2011-10-26,18995.27350427
2011-10-27,19232.54
2011-10-28,21385.20952381
2011-10-29,21706.28318584
2011-10-30,18510.67567568
2011-10-31,15892.29770992
2011-11-01,15425.03333333
2011-11-02,15268.11688312
2011-11-03,19392.28
2011-11-04,18938.7414966
2011-11-05,17127.7739726
2011-11-06,13302.9375
2011-11-07,18046.3030303
2011-11-08,18015.93288591
2011-11-09,16959.42236025
2011-11-10,19818.65957447
2011-11-11,18932.90756303
2011-11-12,15348.29370629
2011-11-13,14773.81944444
2011-11-14,18401.75524476
2011-11-15,16387.73939394
2011-11-16,19407.25185185
2011-11-17,16184.61151079
2011-11-18,16628.42857143
2011-11-19,16749.54471545
2011-11-20,16889.6013986
2011-11-21,16562.88135593
2011-11-22,16851.9
2011-11-23,16949.02985075
2011-11-24,20124.87610619
2011-11-25,16893.54074074
2011-11-26,17325.575
