date,Active Sending Addresses
2023-11-07,201004
2023-11-08,205394
2023-11-09,235166
2023-11-10,247580
2023-11-11,212818
2023-11-12,202981
2023-11-13,196656
2023-11-14,192388
2023-11-15,203760
2023-11-16,209371
2023-11-17,206319
2023-11-18,195427
2023-11-19,203715
2023-11-20,217032
2023-11-21,213242
2023-11-22,231342
2023-11-23,228283
2023-11-24,222076
2023-11-25,203179
2023-11-26,195204
2023-11-27,193425
2023-11-28,201075
2023-11-29,207251
2023-11-30,211109
2023-12-01,231667
2023-12-02,220405
2023-12-03,221515
2023-12-04,244715
2023-12-05,229900
2023-12-06,225038
2023-12-07,238167
2023-12-08,258366
2023-12-09,244938
2023-12-10,229661
2023-12-11,205358
2023-12-12,215285
2023-12-13,200963
2023-12-14,224265
2023-12-15,226124
2023-12-16,204739
2023-12-17,220514
2023-12-18,214262
2023-12-19,261832
2023-12-20,304166
2023-12-21,298885
2023-12-22,296188
2023-12-23,244028
2023-12-24,239230
2023-12-25,235893
2023-12-26,236150
2023-12-27,249111
2023-12-28,280345
2023-12-29,228824
2023-12-30,251200
2023-12-31,243808
2024-01-01,304064
2024-01-02,250710
2024-01-03,219091
2024-01-04,222662
2024-01-05,219930
2024-01-06,215982
2024-01-07,311522
2024-01-08,232403
2024-01-09,240248
2024-01-10,352776
2024-01-11,316876
2024-01-12,303337
2024-01-13,233808
2024-01-14,177662
2024-01-15,231248
2024-01-16,220304
2024-01-17,225737
2024-01-18,226326
2024-01-19,241475
2024-01-20,234688
2024-01-21,259965
2024-01-22,218598
2024-01-23,226592
2024-01-24,229568
2024-01-25,255804
2024-01-26,260321
2024-01-27,279894
2024-01-28,280952
2024-01-29,245049
2024-01-30,268819
2024-01-31,247239
2024-02-01,248653
2024-02-02,247380
2024-02-03,249984
2024-02-04,266333
2024-02-05,274738
2024-02-06,239970
2024-02-07,238363
2024-02-08,215411
2024-02-09,254956
2024-02-10,222360
2024-02-11,234204
2024-02-12,212441
2024-02-13,275132
2024-02-14,284115
2024-02-15,273718
2024-02-16,277489
2024-02-17,246659
2024-02-18,250321
2024-02-19,270656
2024-02-20,260932
2024-02-21,238895
2024-02-22,235113
2024-02-23,241742
2024-02-24,260916
2024-02-25,282214
2024-02-26,280345
2024-02-27,280986
2024-02-28,285628
2024-02-29,269844
2024-03-01,259259
2024-03-02,259260
2024-03-03,273632
2024-03-04,258444
2024-03-05,262230
2024-03-06,261585
2024-03-07,271827
2024-03-08,270571
2024-03-09,262723
2024-03-10,247159
2024-03-11,283898
2024-03-12,270465
2024-03-13,260342
2024-03-14,276434
2024-03-15,307507
2024-03-16,305034
2024-03-17,286108
2024-03-18,270707
2024-03-19,271965
2024-03-20,311108
2024-03-21,320290
2024-03-22,330715
