Datetime,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2015-05-09T00:00:00Z,28662079.8827319,81675567.8559441,157129853.8823336,412170575.2849165,496380011.6900054,896713896.9547926,1821286525.0604246,139288771.7805928,81684473.2183584,7742647.5789647,402.102146,0,0
2015-05-08T00:00:00Z,36023166.6538223,71378208.4708356,160783388.732734,411439849.2547688,500206229.4649262,892816761.1457398,1824595549.9931796,136066614.1638561,81002309.7726375,7737305.1262912,401.024816,0,0
2015-05-07T00:00:00Z,35810225.1536107,70718646.8700017,160912781.8211938,408931573.1130325,506128261.8216905,890482932.6697725,1830575702.003713,129105286.2382131,80594242.1047423,7732140.8548671,400.45024,0,0
2015-05-06T00:00:00Z,38372773.8905066,69737169.1764772,162238380.8402085,407040816.0063982,506020596.8906101,890814923.4526678,1836901249.7346919,122676512.6615463,80213249.9200866,7725412.4928456,399.875664,0,0
2015-05-05T00:00:00Z,33213954.938375,75464579.4817808,163237784.6247175,406383392.4068922,505666056.1946678,891168170.1356125,1840044121.0562222,118921313.2362755,79662376.0467822,7735770.0823745,399.229266,0,0
2015-05-04T00:00:00Z,39458618.4580569,71854983.8104183,159063827.3307664,409655094.1594049,505061151.9460893,891014968.7663587,1842308195.4944894,116784456.3557416,79422768.9228055,7732190.656569,395.853632,0,0
2015-05-03T00:00:00Z,29329416.4673605,79996121.279089,157715248.41899,414670953.3576884,504672170.9138065,891127413.6022679,1844779034.8468964,112990299.8002517,78977166.7896011,7723339.6901186,394.991768,0,0
2015-05-02T00:00:00Z,22119845.9409937,84646540.7436668,159150410.3535547,415747840.0333078,506081068.1125642,888794076.566613,1845939351.4261105,114222590.8838735,76104765.0736839,7713566.7579342,394.058082,0,0
2015-05-01T00:00:00Z,32934279.9913411,74930601.8945244,165449089.8924242,411404889.3185227,503406417.2813684,888672309.5649055,1845882294.407597,114084452.0803678,75672479.1153874,7703526.5097306,392.477998,0,0
2015-04-30T00:00:00Z,36205279.6716249,72089971.6860481,172323543.9677672,410129391.0064926,496814569.8887653,890539912.3699557,1845367785.726446,113776304.222149,74913098.3958292,7698358.4572624,390.9718906,0,0
2015-04-29T00:00:00Z,38766904.2154042,84114878.5560168,158448615.845799,410377734.1804577,495736958.7494214,891015564.1285143,1844431900.312361,117576672.6450333,70662800.153672,7679359.762055,388.5658536,0,0
2015-04-28T00:00:00Z,37835381.6305635,82893821.4393896,162817323.5773158,411924169.4796791,493347899.6448636,892870377.3000959,1842338651.9951577,118933022.4910987,68578916.1525295,7671981.372965,382.7482716,0,0
2015-04-27T00:00:00Z,38938333.9005227,84637469.4788628,158233143.9541056,414605363.7131268,494829465.6817231,891414206.4158406,1842314905.2559872,120074290.1743042,66698304.2193571,7668489.2253849,381.2400096,0,0
2015-04-26T00:00:00Z,25910899.3729721,95046053.9787551,158839188.5828594,421004479.2415627,492668429.3907811,891223139.6679826,1844566907.1629667,118483548.7797302,66043431.5109686,7667350.3418155,379.5162816,0,0
2015-04-25T00:00:00Z,24908035.306115,96509235.0106399,164309034.8516037,422355302.1386476,489420556.1156924,889029690.2120743,1844888694.2239182,119780385.1243385,64218477.8821016,7665050.2710064,377.2811667,0,0
2015-04-24T00:00:00Z,33811426.2867169,88305026.8248021,169995778.098509,416204231.6940799,491219572.4158149,887966395.2763202,1844055961.5817912,127055599.494268,56884584.5358707,7662191.2952675,376.0601928,0,0
2015-04-23T00:00:00Z,52825113.8962074,72173353.6725363,170803533.8963578,413334461.756729,490415198.8950658,890886106.0776298,1856377605.7282019,114322019.8207371,55226669.2126482,7660639.1487674,374.5447486,0,0
2015-04-22T00:00:00Z,34769207.5012072,76260133.7902574,170294078.7771548,413948991.447726,491520270.3868928,899976491.5011066,1843381969.664377,114844963.3940453,70611508.7951984,7659607.398014,367.4731114,0,0
2015-04-21T00:00:00Z,40891912.065706,73704695.8000146,177553680.0288626,405708234.1808707,488567173.8676834,902019289.2081274,1842552922.5069826,114045613.7433709,70142463.2308121,7658878.1633096,366.0007604,0,0
2015-04-20T00:00:00Z,34291693.8265334,78716967.1032767,174706308.8128207,408294952.0217512,491473807.4778998,903226093.8083485,1843097723.6429105,113979178.6302027,69012026.4287907,7657613.9487963,364.4206764,0,0
2015-04-19T00:00:00Z,24196772.7608709,89788317.898987,172611810.8539282,408713100.3110816,495153742.0488013,904058756.6798297,1843052559.6693268,112405363.4442137,68330217.468148,7650354.8324498,362.8053996,0,0
