date,Transaction Count (Mean)
2023-02-27,144.97574653
2023-02-28,146.94528063
2023-03-01,151.91865693
2023-03-02,153.39484434
2023-03-03,153.85110579
2023-03-04,136.62872819
2023-03-05,132.14297753
2023-03-06,145.83548931
2023-03-07,145.46824058
2023-03-08,142.40281492
2023-03-09,145.89441867
2023-03-10,150.51539113
2023-03-11,144.96513916
2023-03-12,137.13363342
2023-03-13,164.73333333
2023-03-14,155.32087665
2023-03-15,151.63244613
2023-03-16,146.47605001
2023-03-17,150.13589095
2023-03-18,143.74961382
2023-03-19,139.49367444
2023-03-20,157.51850813
2023-03-21,152.00871398
2023-03-22,150.60336842
2023-03-23,151.64766329
2023-03-24,152.25825025
2023-03-25,147.76958719
2023-03-26,142.01951699
2023-03-27,154.62009838
2023-03-28,161.67585431
2023-03-29,163.78630676
2023-03-30,166.89013768
2023-03-31,161.52821449
2023-04-01,143.39935339
2023-04-02,138.22031272
2023-04-03,148.67109353
2023-04-04,152.21834497
2023-04-05,159.57015053
2023-04-06,148.23416726
2023-04-07,147.85378294
2023-04-08,130.95100538
2023-04-09,135.82668559
2023-04-10,143.89580974
2023-04-11,153.59042629
2023-04-12,145.61459521
2023-04-13,168.21819299
2023-04-14,166.48472738
2023-04-15,150.46894587
2023-04-16,121.30772508
2023-04-17,143.2383581
2023-04-18,151.40181098
2023-04-19,153.23626606
2023-04-20,152.77871069
2023-04-21,142.27106227
2023-04-22,120.78043996
2023-04-23,121.67522087
2023-04-24,131.9315664
2023-04-25,137.06457953
2023-04-26,137.28014035
2023-04-27,132.10436006
2023-04-28,138.69526752
2023-04-29,124.71502882
2023-04-30,136.87659694
2023-05-01,155.02321002
2023-05-02,158.60005625
2023-05-03,157.34450704
2023-05-04,155.8626983
2023-05-05,169.52559966
2023-05-06,161.14291743
2023-05-07,154.87724972
2023-05-08,161.06254392
2023-05-09,158.42336895
2023-05-10,152.85985648
2023-05-11,156.15421755
2023-05-12,154.81914125
2023-05-13,140.46610169
2023-05-14,140.7195122
2023-05-15,154.16080757
2023-05-16,151.41163185
2023-05-17,147.54488901
2023-05-18,148.25674916
2023-05-19,151.60897798
2023-05-20,147.64725738
2023-05-21,143.02212826
2023-05-22,151.22841069
2023-05-23,156.91640823
2023-05-24,148.31594488
2023-05-25,149.47355837
2023-05-26,148.80758427
2023-05-27,137.89222565
2023-05-28,135.90406732
2023-05-29,152.1502882
2023-05-30,167.62232545
2023-05-31,154.64709196
2023-06-01,150.89167488
2023-06-02,155.57066291
2023-06-03,141.35952683
2023-06-04,135.74809591
2023-06-05,162.79488267
2023-06-06,154.35433404
2023-06-07,151.11539004
2023-06-08,142.51547266
2023-06-09,147.46140845
2023-06-10,169.51907108
2023-06-11,155.89471459
2023-06-12,137.40095734
2023-06-13,133.90032335
2023-06-14,144.22547914
2023-06-15,156.19318981
2023-06-16,161.0372191
2023-06-17,137.80691683
2023-06-18,140.58630368
2023-06-19,146.93863221
2023-06-20,150.56811798
2023-06-21,153.0082691
2023-06-22,147.9242339
2023-06-23,148.3583181
2023-06-24,141.28874824
2023-06-25,131.50865101
2023-06-26,140.32146376
2023-06-27,150.39735099
2023-06-28,153.20282755
2023-06-29,149.23527762
2023-06-30,158.50421112
2023-07-01,142.8745429
2023-07-02,129.84165498
2023-07-03,149.26377953
2023-07-04,131.03824522
2023-07-05,106.61424166
2023-07-06,128.46424055
2023-07-07,145.79345689
2023-07-08,142.56797413
2023-07-09,134.19277278
2023-07-10,148.93115585
2023-07-11,153.41973573
2023-07-12,146.47868899
2023-07-13,157.83628941
2023-07-14,156.20877884
2023-07-15,134.66005666
2023-07-16,133.28875123
2023-07-17,145.21773855
2023-07-18,164.97797419
2023-07-19,153.4272689
2023-07-20,146.90789474
2023-07-21,155.58571429
2023-07-22,140.45224444
2023-07-23,136.72425853
2023-07-24,144.95733669
2023-07-25,138.69033613
2023-07-26,143.90437579
2023-07-27,139.71732438
2023-07-28,142.02141657
2023-07-29,138.64330676
2023-07-30,137.3400056
2023-07-31,146.40326861
2023-08-01,149.15626309
2023-08-02,145.53121072
2023-08-03,146.89139258
2023-08-04,150.35780201
2023-08-05,157.14493361
2023-08-06,138.34491454
2023-08-07,146.64463736
2023-08-08,153.81338373
2023-08-09,150.65701092
2023-08-10,145.21872376
2023-08-11,146.9226357
2023-08-12,136.13755947
2023-08-13,128.65753807
2023-08-14,141.21518456
2023-08-15,147.74755245
2023-08-16,150.45106264
2023-08-17,149.28277311
2023-08-18,151.43775382
2023-08-19,145.8048439
2023-08-20,132.09745169
2023-08-21,141.47788354
2023-08-22,145.48979592
2023-08-23,146.02123498
2023-08-24,147.68859342
2023-08-25,143.56081176
2023-08-26,138.66955913
2023-08-27,127.01064128
2023-08-28,139.33720442
2023-08-29,143.01430575
2023-08-30,143.92210703
2023-08-31,141.35572348
2023-09-01,140.9458135
2023-09-02,143.76361595
2023-09-03,145.2943317
2023-09-04,132.98519966
2023-09-05,139.20305279
2023-09-06,148.45646993
2023-09-07,142.21043065
2023-09-08,142.07830228
2023-09-09,130.22278268
2023-09-10,121.3992715
2023-09-11,143.02337953
2023-09-12,153.20409308
2023-09-13,228.27934371
2023-09-14,150.50421348
2023-09-15,141.40586659
2023-09-16,130.27881356
2023-09-17,124.8933693
2023-09-18,137.73495501
2023-09-19,140.52276867
2023-09-20,141.63118881
2023-09-21,158.42002801
2023-09-22,136.80244142
2023-09-23,120.90492859
2023-09-24,123.77394958
2023-09-25,138.60534415
2023-09-26,145.70696893
2023-09-27,147.89560593
2023-09-28,144.43419762
2023-09-29,143.53242751
2023-09-30,136.56019553
2023-10-01,128.88587792
2023-10-02,141.83916864
2023-10-03,140.3212486
2023-10-04,137.45081051
