date,timestamp_utc,Tokens Transferred by External Contract Calls USD (Median)
2025-06-23,2025-06-23T00:00:00Z,64.668423740512
2025-06-24,2025-06-24T00:00:00Z,58.79502730608
2025-06-25,2025-06-25T00:00:00Z,39.526013009707526
2025-06-26,2025-06-26T00:00:00Z,48.3452045044
2025-06-27,2025-06-27T00:00:00Z,48.4824899376
2025-06-28,2025-06-28T00:00:00Z,38.508190796638
2025-06-29,2025-06-29T00:00:00Z,25.0075681152
2025-06-30,2025-06-30T00:00:00Z,58.2496840989245
2025-07-01,2025-07-01T00:00:00Z,52.64539929775311
2025-07-02,2025-07-02T00:00:00Z,49.63338647014376
2025-07-03,2025-07-03T00:00:00Z,50.6472949316682
2025-07-04,2025-07-04T00:00:00Z,25.0858379208
2025-07-05,2025-07-05T00:00:00Z,17.315882250566307
2025-07-06,2025-07-06T00:00:00Z,38.2286589026799
2025-07-07,2025-07-07T00:00:00Z,70.85046617392082
2025-07-08,2025-07-08T00:00:00Z,64.38245998559542
2025-07-09,2025-07-09T00:00:00Z,55.44110802981899
2025-07-10,2025-07-10T00:00:00Z,59.0174889114
2025-07-11,2025-07-11T00:00:00Z,61.547449372656
2025-07-12,2025-07-12T00:00:00Z,41.20853848678
2025-07-13,2025-07-13T00:00:00Z,57.38707919832818
2025-07-14,2025-07-14T00:00:00Z,90.4210641522
2025-07-15,2025-07-15T00:00:00Z,67.42863734951311
2025-07-16,2025-07-16T00:00:00Z,101.1626732766
2025-07-17,2025-07-17T00:00:00Z,82.74543797070535
2025-07-18,2025-07-18T00:00:00Z,81.62724154462
2025-07-19,2025-07-19T00:00:00Z,45.63843507640613
2025-07-20,2025-07-20T00:00:00Z,75.1634005786
2025-07-21,2025-07-21T00:00:00Z,67.81721890227108
2025-07-22,2025-07-22T00:00:00Z,37.105794999504
2025-07-23,2025-07-23T00:00:00Z,30.126012191813
2025-07-24,2025-07-24T00:00:00Z,25.324594636398963
2025-07-25,2025-07-25T00:00:00Z,20.258305303099377
2025-07-26,2025-07-26T00:00:00Z,45.36674235797034
2025-07-27,2025-07-27T00:00:00Z,43.9628425383958
2025-07-28,2025-07-28T00:00:00Z,41.79800555986
