date,Transaction Count - Internal, External, EOA (Total)
2025-01-26,7032010,,
2025-01-27,6682839,,
2025-01-28,6593169,,
2025-01-29,6848341,,
2025-01-30,6947593,,
2025-01-31,6968492,,
2025-02-01,6980708,,
2025-02-02,7261634,,
2025-02-03,7258466,,
2025-02-04,8114650,,
2025-02-05,7790657,,
2025-02-06,7898240,,
2025-02-07,8031440,,
2025-02-08,7624653,,
2025-02-09,7720279,,
2025-02-10,8047931,,
2025-02-11,7940679,,
2025-02-12,7695801,,
2025-02-13,7842722,,
2025-02-14,8057096,,
2025-02-15,7310159,,
2025-02-16,7502766,,
2025-02-17,7637575,,
2025-02-18,8248760,,
2025-02-19,7894241,,
2025-02-20,7832890,,
2025-02-21,7930623,,
2025-02-22,7657731,,
2025-02-23,7527683,,
2025-02-24,8109576,,
2025-02-25,8609054,,
2025-02-26,8232585,,
2025-02-27,8880047,,
2025-02-28,9313447,,
2025-03-01,9110520,,
2025-03-02,7864459,,
2025-03-03,8658594,,
2025-03-04,8832578,,
2025-03-05,8151462,,
2025-03-06,8355383,,
2025-03-07,8661231,,
2025-03-08,7603413,,
2025-03-09,9091712,,
2025-03-10,9649281,,
2025-03-11,9389332,,
2025-03-12,8193286,,
2025-03-13,7672676,,
2025-03-14,7679209,,
2025-03-15,7330095,,
2025-03-16,7210437,,
2025-03-17,7611086,,
2025-03-18,8106337,,
2025-03-19,8408448,,
2025-03-20,8291837,,
2025-03-21,7861626,,
2025-03-22,7342840,,
2025-03-23,7866427,,
2025-03-24,8110142,,
2025-03-25,8255725,,
2025-03-26,8603083,,
2025-03-27,8582281,,
2025-03-28,8385068,,
2025-03-29,7825040,,
2025-03-30,8036828,,
2025-03-31,8248460,,
2025-04-01,8067830,,
2025-04-02,8083272,,
2025-04-03,8803831,,
2025-04-04,7577934,,
2025-04-05,6936635,,
2025-04-06,7820685,,
2025-04-07,8708666,,
2025-04-08,8252822,,
2025-04-09,8312470,,
2025-04-10,8290971,,
2025-04-11,7938429,,
2025-04-12,7837774,,
2025-04-13,7677379,,
2025-04-14,7570412,,
2025-04-15,7806086,,
2025-04-16,7823386,,
2025-04-17,7759017,,
2025-04-18,7505735,,
2025-04-19,7540918,,
2025-04-20,7654140,,
2025-04-21,8251617,,
2025-04-22,8184133,,
2025-04-23,8100990,,
2025-04-24,8460248,,
2025-04-25,8588552,,
2025-04-26,7764337,,
2025-04-27,8001767,,
2025-04-28,8136886,,
2025-04-29,8148668,,
2025-04-30,8013027,,
2025-05-01,8000501,,
2025-05-02,7654624,,
2025-05-03,7362274,,
2025-05-04,7433640,,
2025-05-05,7760622,,
2025-05-06,7675067,,
2025-05-07,7898415,,
2025-05-08,8038342,,
2025-05-09,8288120,,
2025-05-10,8656395,,
2025-05-11,8771256,,
2025-05-12,8398012,,
2025-05-13,8438559,,
2025-05-14,8196885,,
2025-05-15,8259642,,
2025-05-16,8312676,,
2025-05-17,8085146,,
2025-05-18,8274348,,
2025-05-19,8332350,,
2025-05-20,8307012,,
2025-05-21,8361298,,
2025-05-22,8483839,,
2025-05-23,8600209,,
2025-05-24,8558871,,
2025-05-25,8442995,,
2025-05-26,8483540,,
2025-05-27,8516251,,
2025-05-28,8503619,,
2025-05-29,8712829,,
2025-05-30,8564896,,
2025-05-31,8626547,,
2025-06-01,8703182,,
2025-06-02,8326234,,
2025-06-03,8363031,,
2025-06-04,8423946,,
2025-06-05,8366209,,
2025-06-06,8378761,,
2025-06-07,8000583,,
2025-06-08,8087522,,
2025-06-09,8089249,,
2025-06-10,8559203,,
2025-06-11,8417814,,
2025-06-12,8399362,,
2025-06-13,8622728,,
2025-06-14,8212983,,
2025-06-15,7856258,,
2025-06-16,8408070,,
2025-06-17,8548343,,
2025-06-18,8587976,,
2025-06-19,8303793,,
2025-06-20,8321201,,
2025-06-21,8657346,,
2025-06-22,8869160,,
2025-06-23,8550536,,
2025-06-24,8071939,,
2025-06-25,7643960,,
2025-06-26,8409355,,
2025-06-27,9010332,,
2025-06-28,7894206,,
2025-06-29,8128169,,
2025-06-30,8350372,,
2025-07-01,8534463,,
2025-07-02,8560266,,
2025-07-03,8246602,,
2025-07-04,8398581,,
2025-07-05,8217852,,
2025-07-06,8076865,,
2025-07-07,8315492,,
2025-07-08,8664140,,
2025-07-09,8597772,,
2025-07-10,8804964,,
2025-07-11,8729971,,
2025-07-12,8841438,,
2025-07-13,8686078,,
2025-07-14,8694118,,
2025-07-15,8877924,,
2025-07-16,8821541,,
2025-07-17,8614540,,
2025-07-18,8846695,,
2025-07-19,8991873,,
2025-07-20,9289974,,
2025-07-21,10229835,,
2025-07-22,11224741,,
2025-07-23,11000802,,
2025-07-24,11039832,,
2025-07-25,11522696,,
2025-07-26,11021293,,
2025-07-27,10968110,,
2025-07-28,11113854,,
2025-07-29,10371401,,
2025-07-30,8714615,,
2025-07-31,9073342,,
2025-08-01,10996837,,
2025-08-02,10522083,,
2025-08-03,10352909,,
2025-08-04,10440382,,
2025-08-05,10184737,,
2025-08-06,10437226,,
2025-08-07,10646785,,
2025-08-08,10686826,,
2025-08-09,11301943,,
2025-08-10,11719695,,
2025-08-11,11228281,,
2025-08-12,11258151,,
2025-08-13,11251235,,
2025-08-14,11147706,,
2025-08-15,11253608,,
2025-08-16,10879208,,
2025-08-17,11427373,,
2025-08-18,11100096,,
2025-08-19,11354124,,
2025-08-20,11093689,,
2025-08-21,10798785,,
2025-08-22,11358568,,
2025-08-23,11711585,,
2025-08-24,11490252,,
2025-08-25,11994250,,
2025-08-26,13314289,,
2025-08-27,13892002,,
2025-08-28,12487809,,
2025-08-29,11127729,,
2025-08-30,10667191,,
2025-08-31,10397675,,
2025-09-01,13623226,,
2025-09-02,11532846,,
2025-09-03,12521217,,
2025-09-04,12943173,,
2025-09-05,13050455,,
2025-09-06,12508123,,
2025-09-07,11707906,,
2025-09-08,12633993,,
2025-09-09,12427679,,
2025-09-10,11222588,,
2025-09-11,11895578,,
2025-09-12,12209732,,
2025-09-13,11691255,,
2025-09-14,11207317,,
2025-09-15,11396336,,
2025-09-16,10290675,,
2025-09-17,10824727,,
2025-09-18,10501601,,
2025-09-19,11159378,,
2025-09-20,11795271,,
2025-09-21,11210839,,
2025-09-22,11416127,,
2025-09-23,11269063,,
2025-09-24,11626999,,
2025-09-25,12012719,,
2025-09-26,11579440,,
2025-09-27,12528034,,
2025-09-28,11884304,,
2025-09-29,11115130,,
2025-09-30,10957206,,
2025-10-01,10792788,,
2025-10-02,10988475,,
2025-10-03,11213342,,
2025-10-04,10796685,,
2025-10-05,11140486,,
2025-10-06,11141353,,
2025-10-07,11116417,,
2025-10-08,10978094,,
2025-10-09,11470939,,
2025-10-10,11360844,,
2025-10-11,11705116,,
2025-10-12,11694366,,
2025-10-13,11568586,,
2025-10-14,11266716,,
2025-10-15,10926144,,
2025-10-16,10530692,,
2025-10-17,10541891,,
2025-10-18,9779470,,
2025-10-19,10092082,,
2025-10-20,10274785,,
2025-10-21,10831168,,
2025-10-22,10785291,,
2025-10-23,10397422,,
2025-10-24,10773483,,
2025-10-25,9877547,,
2025-10-26,10127568,,
2025-10-27,10790478,,
2025-10-28,10909417,,
2025-10-29,11147664,,
2025-10-30,11510123,,
2025-10-31,12271367,,
2025-11-01,10331232,,
2025-11-02,10451008,,
2025-11-03,12269007,,
2025-11-04,12245746,,
2025-11-05,12603013,,
2025-11-06,12326951,,
2025-11-07,12987812,,
2025-11-08,10624386,,
