date,Realized Cap
2021-02-20,266621333215.4727
2021-02-21,268967621877.97223
2021-02-22,271016175429.3177
2021-02-23,273663050744.8173
2021-02-24,275989288358.4792
2021-02-25,277818252989.18884
2021-02-26,280094033264.9099
2021-02-27,279902705371.02234
2021-02-28,280197936295.15753
2021-03-01,281523542356.49585
2021-03-02,282963034227.2876
2021-03-03,284154875558.5029
2021-03-04,285022027880.39056
2021-03-05,285886626157.8663
2021-03-06,286421010353.0365
2021-03-07,287085486950.14124
2021-03-08,288691847999.48364
2021-03-09,290472561539.0638
2021-03-10,292448016925.0336
2021-03-11,295640278081.88544
2021-03-12,298129130898.4522
2021-03-13,300029688859.00806
2021-03-14,301899843449.03973
2021-03-15,303021211532.0741
2021-03-16,304919931770.442
2021-03-17,306530127751.93414
2021-03-18,307661235997.986
2021-03-19,308593226883.0424
2021-03-20,309637353338.7565
2021-03-21,310450532186.7637
2021-03-22,311710881485.8148
2021-03-23,313572591462.48065
2021-03-24,314965860405.03265
2021-03-25,316237579166.8
2021-03-26,317315504053.33246
2021-03-27,318871461630.2512
2021-03-28,319550515807.3763
2021-03-29,320986470067.847
2021-03-30,322616781459.1945
2021-03-31,324242900315.6468
2021-04-01,326303742937.28
2021-04-02,327686966535.3194
2021-04-03,328125636031.52344
2021-04-04,328685457503.4405
2021-04-05,329569157245.1871
2021-04-06,335098762995.09937
2021-04-07,335854112873.2373
2021-04-08,336780139366.38367
2021-04-09,337621601127.23285
2021-04-10,338785725962.0156
2021-04-11,340082044550.4135
2021-04-12,341724875409.46783
2021-04-13,344194093751.73083
2021-04-14,347153435114.0789
2021-04-15,349304134020.81854
2021-04-16,350316424272.14655
2021-04-17,351279146573.2075
2021-04-18,355220668457.75806
2021-04-19,355489942762.9435
2021-04-20,356187865934.5515
2021-04-21,356530845295.96497
2021-04-22,357658787800.6992
2021-04-23,357513491326.3214
2021-04-24,358201721628.71326
2021-04-25,358260837220.5995
2021-04-26,359391895552.93536
2021-04-27,361054595455.7896
2021-04-28,361774058292.6781
2021-04-29,363053193523.3991
2021-04-30,364754438876.93024
2021-05-01,365453417808.4646
2021-05-02,366040256041.5606
2021-05-03,367164534341.1116
2021-05-04,367824707338.8215
2021-05-05,368911532083.4255
2021-05-06,370210593351.9715
2021-05-07,372851286543.3934
2021-05-08,373751248291.3212
2021-05-09,374605398615.69904
2021-05-10,375497997530.3208
2021-05-11,375873317788.1929
2021-05-12,377569016032.12537
2021-05-13,377284549158.61865
2021-05-14,377420953483.006
2021-05-15,377493246640.0846
2021-05-16,377329768174.9968
2021-05-17,376404562560.97046
2021-05-18,376112945595.93353
2021-05-19,373477460440.7805
2021-05-20,372063140966.6248
2021-05-21,371389858195.80383
2021-05-22,370713152712.8702
2021-05-23,370111486002.689
2021-05-24,370960272265.3787
2021-05-25,370437173059.9927
2021-05-26,370743212746.4659
2021-05-27,370469534442.5855
2021-05-28,369836573491.7069
2021-05-29,369443797695.6826
2021-05-30,369775545674.6712
