date,Active Sending Addresses (%)
2020-12-20,73.01346834
2020-12-21,71.35444591
2020-12-22,67.70265342
2020-12-23,63.97418741
2020-12-24,68.73440345
2020-12-25,67.1401197
2020-12-26,70.60462621
2020-12-27,64.9580034
2020-12-28,64.47073269
2020-12-29,64.72937072
2020-12-30,67.47843605
2020-12-31,67.76868551
2021-01-01,72.29469695
2021-01-02,66.77849535
2021-01-03,60.70356422
2021-01-04,59.29771228
2021-01-05,61.77109876
2021-01-06,66.23325078
2021-01-07,64.40624716
2021-01-08,64.74281595
2021-01-09,68.41790988
2021-01-10,68.67178805
2021-01-11,66.90228553
2021-01-12,71.61710829
2021-01-13,72.87881154
2021-01-14,72.62967016
2021-01-15,71.80804484
2021-01-16,71.52005718
2021-01-17,70.51239116
2021-01-18,71.44854972
2021-01-19,66.64779963
2021-01-20,69.09209823
2021-01-21,69.24209327
2021-01-22,72.31114138
2021-01-23,72.59676182
