date,Active Receiving Addresses (%)
2024-03-21,77.58796953
2024-03-22,71.79511759
2024-03-23,61.90561529
2024-03-24,72.51152203
2024-03-25,78.49428828
2024-03-26,79.47548887
2024-03-27,79.58613894
2024-03-28,78.40700055
2024-03-29,78.91468063
2024-03-30,76.29150911
2024-03-31,76.79785476
2024-04-01,79.325441
2024-04-02,80.83500658
2024-04-03,80.24275903
2024-04-04,73.39428249
2024-04-05,72.07160514
2024-04-06,70.96690055
2024-04-07,74.4187699
2024-04-08,75.2837896
2024-04-09,75.5989874
2024-04-10,73.16325718
2024-04-11,79.52455261
2024-04-12,78.45309995
2024-04-13,74.74514701
2024-04-14,69.62133863
2024-04-15,76.46956075
2024-04-16,71.14881337
2024-04-17,77.27922004
2024-04-18,75.28249371
2024-04-19,76.83738653
2024-04-20,73.09325869
2024-04-21,71.07684059
2024-04-22,75.06583538
2024-04-23,78.72406097
2024-04-24,77.66637423
2024-04-25,76.21223716
2024-04-26,75.75818482
2024-04-27,74.13400087
2024-04-28,73.53703896
2024-04-29,61.76160593
2024-04-30,73.81566581
2024-05-01,77.21648844
2024-05-02,74.08970169
2024-05-03,75.91649519
2024-05-04,74.83249643
2024-05-05,76.04674612
2024-05-06,79.51631666
2024-05-07,74.86925067
2024-05-08,75.59277616
2024-05-09,74.14940278
2024-05-10,77.36075407
2024-05-11,70.77861446
2024-05-12,74.65195075
2024-05-13,78.25448063
2024-05-14,71.04036843
2024-05-15,77.54992568
2024-05-16,77.84095851
2024-05-17,75.9601707
2024-05-18,59.26169475
2024-05-19,66.91306267
2024-05-20,79.02066279
2024-05-21,78.22072417
2024-05-22,71.97599992
2024-05-23,78.33721249
2024-05-24,74.8455723
2024-05-25,72.16954123
2024-05-26,78.00578795
2024-05-27,78.96730843
2024-05-28,78.29606112
2024-05-29,74.06456708
2024-05-30,73.9946145
2024-05-31,74.9336257
2024-06-01,69.1393112
2024-06-02,75.86505317
2024-06-03,75.04636178
2024-06-04,73.44216991
2024-06-05,76.08404352
2024-06-06,75.54224357
2024-06-07,74.71997096
2024-06-08,64.05884846
2024-06-09,66.53407321
2024-06-10,69.80114281
2024-06-11,68.39551195
2024-06-12,66.80519326
2024-06-13,72.99448801
2024-06-14,72.8149004
2024-06-15,67.79225209
2024-06-16,67.78388603
2024-06-17,75.25655777
2024-06-18,73.48074955
2024-06-19,74.88799499
2024-06-20,77.25232039
2024-06-21,67.65008797
2024-06-22,56.1379054
2024-06-23,68.6156556
2024-06-24,72.06156765
2024-06-25,72.77356716
2024-06-26,68.83410679
2024-06-27,73.68185264
2024-06-28,78.99073726
2024-06-29,71.35314656
2024-06-30,72.92825726
2024-07-01,73.78388221
2024-07-02,73.27876899
2024-07-03,78.30100197
2024-07-04,78.34069279
2024-07-05,75.32136887
2024-07-06,69.14321468
2024-07-07,68.92787221
2024-07-08,76.88891332
2024-07-09,77.12964379
2024-07-10,79.39511701
2024-07-11,80.25513034
2024-07-12,77.30575127
2024-07-13,71.14118243
2024-07-14,76.6398048
2024-07-15,80.43708471
2024-07-16,79.99818639
2024-07-17,80.37122348
2024-07-18,80.19194881
2024-07-19,79.37379033
2024-07-20,76.47892043
2024-07-21,77.141125
2024-07-22,78.35907171
2024-07-23,77.95601426
2024-07-24,79.10106396
2024-07-25,78.59007833
2024-07-26,75.93204342
2024-07-27,77.46783102
2024-07-28,74.93281454
2024-07-29,77.81375469
2024-07-30,77.68977938
2024-07-31,79.44288312
2024-08-01,79.38084749
2024-08-02,78.37055236
2024-08-03,73.90378269
2024-08-04,68.01273937
2024-08-05,76.51028989
2024-08-06,74.67224604
2024-08-07,77.21163557
2024-08-08,76.4670827
2024-08-09,79.7648042
2024-08-10,76.91110943
2024-08-11,75.22298027
2024-08-12,77.41592119
2024-08-13,75.3413628
2024-08-14,74.07478387
2024-08-15,77.71212587
2024-08-16,80.93473201
2024-08-17,77.67145374
2024-08-18,77.53099984
2024-08-19,80.12267565
2024-08-20,77.71051745
2024-08-21,77.47752397
2024-08-22,78.92559786
2024-08-23,82.34038613
2024-08-24,84.46663497
2024-08-25,77.79235558
2024-08-26,83.21567329
2024-08-27,83.29152172
2024-08-28,80.89299392
2024-08-29,84.5441737
2024-08-30,82.79645644
2024-08-31,81.34449274
2024-09-01,81.49325992
2024-09-02,81.12033608
2024-09-03,80.30075188
2024-09-04,81.25083497
2024-09-05,77.72836276
2024-09-06,78.42333227
2024-09-07,81.03943258
2024-09-08,83.65537483
2024-09-09,80.96806624
2024-09-10,80.01542036
2024-09-11,78.2867849
2024-09-12,81.726083
2024-09-13,85.30983572
2024-09-14,86.71881669
2024-09-15,92.23881824
2024-09-16,83.61339241
2024-09-17,82.29771128
2024-09-18,76.04894912
2024-09-19,79.26593176
2024-09-20,79.85209762
2024-09-21,76.98957272
2024-09-22,77.19043948
2024-09-23,79.22876687
2024-09-24,77.62410093
2024-09-25,76.41252955
2024-09-26,80.16908405
2024-09-27,75.63480924
2024-09-28,77.82952631
2024-09-29,77.63756354
2024-09-30,79.84105526
2024-10-01,80.6552784
2024-10-02,78.8425625
2024-10-03,75.49626055
2024-10-04,79.37860082
2024-10-05,76.1233552
2024-10-06,74.79887221
2024-10-07,78.63860695
2024-10-08,77.98797737
2024-10-09,76.7999148
2024-10-10,75.06226256
2024-10-11,76.69012405
