Datetime,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2021-12-13T00:00:00Z,68662.62455071,275130.79811824,920596.39952867,1980223.2500234,4890651.37914424,5361378.42464594,3949348.22066568,1454211.19829408
2021-12-12T00:00:00Z,68519.88089403,274571.7987884,919306.52686904,1976513.97178741,4889551.34188156,5363366.8411805,3951245.06422999,1456245.61934003
2021-12-11T00:00:00Z,68253.16913501,273969.80764127,918517.23979647,1972501.93612959,4890619.21938164,5364361.83927599,3954169.22232231,1456053.61128868
2021-12-10T00:00:00Z,68020.50810629,273370.91734273,917391.88446489,1969628.12303763,4889753.41545853,5365887.60070503,3957384.53528487,1456065.31057099
2021-12-09T00:00:00Z,67725.26824658,272718.04521476,917137.79912924,1966005.92864598,4889614.0512691,5368323.69769381,3958831.89022837,1456170.61454312
2021-12-08T00:00:00Z,68249.71810745,274617.41494869,920101.57770053,1973400.76907411,4897420.47398538,5341037.98838145,3991219.97114702,1429460.63162633
2021-12-07T00:00:00Z,68156.93304337,274482.53689142,921180.4009188,1977980.34907705,4906343.72006888,5328057.57563023,3984555.91670126,1433701.11263995
2021-12-06T00:00:00Z,67989.61958279,273749.45906482,919546.83893509,1975417.0618482,4904022.34116149,5338535.28398373,4005543.17721089,1408692.26318395
2021-12-05T00:00:00Z,67999.47504367,273583.06079045,918651.87710708,1972938.42008253,4897338.38462022,5324071.73891463,4013321.13244514,1424516.95596724
2021-12-04T00:00:00Z,68381.74392261,272541.85482187,917170.0410345,1969026.22652182,4891690.21407705,5336652.5092007,4011274.67539639,1424646.27999602
2021-12-03T00:00:00Z,68403.82071169,271658.80648599,915497.66690588,1963615.30071578,4873704.63730168,5365439.22365777,3998307.75653519,1433787.58265698
2021-12-02T00:00:00Z,68246.54378225,271201.37328698,915514.61521397,1961116.81667495,4876145.80377781,5362937.70044354,4000440.69492108,1433761.24687038
2021-12-01T00:00:00Z,68560.60297558,273016.99496078,919268.63806996,1967779.61236962,4882042.46668758,5337786.32990647,4007604.03027283,1432337.36972814
2021-11-30T00:00:00Z,68788.42330525,273835.5973198,920805.54941945,1972843.9499032,4890985.56562,5319790.02498032,4008199.68510612,1432290.99931682
2021-11-29T00:00:00Z,68502.10894064,272997.04153665,919055.38190719,1970732.88508207,4895276.21241093,5343587.87593801,4001082.76262083,1415468.02653464
2021-11-28T00:00:00Z,68322.60266936,272604.81744679,918492.04165553,1968039.1992234,4894263.45611736,5345064.04692149,4003096.60456088,1415925.77637615
2021-11-27T00:00:00Z,68201.87088434,272185.43592791,917601.15415966,1967352.07250788,4895011.49713574,5342835.26051335,3995952.00676227,1425800.49707981
2021-11-26T00:00:00Z,67897.28663581,271576.30163027,916438.12576817,1966428.56429198,4893779.03670895,5343889.58100614,3998270.70942472,1425766.43950492
2021-11-25T00:00:00Z,67669.66537605,270940.5322122,915100.89968616,1964716.72900033,4893765.19260059,5346205.28600339,4008529.62373908,1416293.11635316
2021-11-24T00:00:00Z,67359.57496504,270452.2900472,913934.68943916,1966274.41777959,4887384.75658219,5418839.28869352,3931799.01697729,1426364.51048697
2021-11-23T00:00:00Z,67311.47587475,269794.09141689,912776.41333385,1968399.12012696,4880444.15609758,5419643.49551048,3936703.00440341,1426355.53820704
2021-11-22T00:00:00Z,67034.98417596,269067.94404074,911331.11255277,1971344.09717214,4872245.90693652,5423335.56772831,3939901.43597081,1426341.24639371
2021-11-21T00:00:00Z,66897.10110762,268750.20510978,910753.0929512,1974483.89472305,4871373.27289362,5422261.87277265,3956874.98697671,1408326.61843633
2021-11-20T00:00:00Z,66854.0720648,268600.21007147,910621.55856312,1977331.40004802,4869202.57300497,5419752.14509691,3958136.25747755,1408397.82864412
2021-11-19T00:00:00Z,66704.73944028,268401.66494979,910021.67254881,1976657.2697776,4866110.11114808,5421349.12751312,3960357.38597606,1408387.82361722
