date,Phase 0 Success Rate (%)
2023-07-02,4952.68
2023-07-03,4956.84
2023-07-04,4965.21
2023-07-05,4971.61
2023-07-06,4980.78
2023-07-07,4993.31
2023-07-08,4999.38
2023-07-09,5001.52
2023-07-10,5007.0
2023-07-11,5020.62
2023-07-12,5035.75
2023-07-13,5060.6
2023-07-14,5079.16
2023-07-15,5085.13
2023-07-16,5089.98
2023-07-17,5097.98
2023-07-18,5105.08
2023-07-19,5129.2
2023-07-20,5145.63
2023-07-21,5161.27
2023-07-22,5170.72
2023-07-23,5179.9
2023-07-24,5184.56
2023-07-25,5205.46
2023-07-26,5217.43
2023-07-27,5229.6
2023-07-28,5256.99
2023-07-29,5262.6
2023-07-30,5269.17
2023-07-31,5274.75
2023-08-01,5282.04
2023-08-02,5287.5
2023-08-03,5292.13
2023-08-04,5300.79
2023-08-05,5306.77
2023-08-06,5309.98
2023-08-07,5315.07
2023-08-08,5323.35
2023-08-09,5333.64
2023-08-10,5346.59
2023-08-11,5366.65
2023-08-12,5372.36
2023-08-13,5377.26
2023-08-14,5382.66
2023-08-15,5393.2
2023-08-16,5400.75
2023-08-17,5407.79
2023-08-18,5426.48
2023-08-19,5438.91
2023-08-20,5443.87
2023-08-21,5460.76
2023-08-22,5482.76
2023-08-23,5489.12
2023-08-24,5500.71
2023-08-25,5512.37
2023-08-26,5517.63
2023-08-27,5521.45
2023-08-28,5533.28
2023-08-29,5555.18
2023-08-30,5565.51
2023-08-31,5576.95
2023-09-01,5586.8
2023-09-02,5591.42
2023-09-03,5594.11
2023-09-04,5601.96
2023-09-05,5610.14
2023-09-06,5614.51
2023-09-07,5620.97
2023-09-08,5629.37
2023-09-09,5633.33
2023-09-10,5636.13
2023-09-11,5648.28
2023-09-12,5654.06
2023-09-13,5679.75
2023-09-14,5684.62
2023-09-15,5695.24
2023-09-16,5697.54
2023-09-17,5701.54
2023-09-18,5713.25
2023-09-19,5724.27
2023-09-20,5740.35
2023-09-21,5744.97
2023-09-22,5752.78
2023-09-23,5759.13
2023-09-24,5763.92
2023-09-25,5769.83
2023-09-26,5782.05
2023-09-27,5788.86
2023-09-28,5794.79
2023-09-29,5809.17
2023-09-30,5814.29
2023-10-01,5819.01
2023-10-02,5827.23
2023-10-03,5835.96
2023-10-04,5844.67
2023-10-05,5853.26
2023-10-06,5864.97
2023-10-07,5868.06
2023-10-08,5873.99
2023-10-09,5895.01
2023-10-10,5912.92
2023-10-11,5919.22
2023-10-12,5928.34
2023-10-13,5942.33
2023-10-14,5952.24
2023-10-15,5955.45
2023-10-16,5962.82
2023-10-17,5975.59
2023-10-18,5985.87
2023-10-19,5992.04
2023-10-20,5996.8
2023-10-21,6001.18
2023-10-22,6003.94
2023-10-23,6016.28
2023-10-24,6023.77
2023-10-25,6031.46
2023-10-26,6039.53
2023-10-27,6048.37
2023-10-28,6052.03
2023-10-29,6058.95
2023-10-30,6083.09
2023-10-31,6097.02
2023-11-01,6107.69
2023-11-02,6113.87
2023-11-03,6134.9
