date,timestamp_utc,Exchange Inflow (Top10)
2020-10-17,2020-10-17T00:00:00Z,9147316.797122
2020-10-18,2020-10-18T00:00:00Z,10271874.518778
2020-10-19,2020-10-19T00:00:00Z,20356088.791984
2020-10-20,2020-10-20T00:00:00Z,23782629.009204
2020-10-21,2020-10-21T00:00:00Z,108746436.112491
2020-10-22,2020-10-22T00:00:00Z,38755002.395596
2020-10-23,2020-10-23T00:00:00Z,37278736.220053
2020-10-24,2020-10-24T00:00:00Z,18567682.425026
2020-10-25,2020-10-25T00:00:00Z,22237882.10462
2020-10-26,2020-10-26T00:00:00Z,113349275.473861
2020-10-27,2020-10-27T00:00:00Z,119761202.7166
2020-10-28,2020-10-28T00:00:00Z,128561419.720741
2020-10-29,2020-10-29T00:00:00Z,16212812.817206
2020-10-30,2020-10-30T00:00:00Z,169378602.487421
2020-10-31,2020-10-31T00:00:00Z,18320091.4879
2020-11-01,2020-11-01T00:00:00Z,9072685.483754
2020-11-02,2020-11-02T00:00:00Z,425651906.345751
2020-11-03,2020-11-03T00:00:00Z,780286020.7240839
2020-11-04,2020-11-04T00:00:00Z,23932671.594225
2020-11-05,2020-11-05T00:00:00Z,69124547.996487
2020-11-06,2020-11-06T00:00:00Z,314026926.532818
2020-11-07,2020-11-07T00:00:00Z,36554180.413301
