date,timestamp_utc,Fees Burnt USD (Total)
2022-02-24,2022-02-24T00:00:00Z,20742168.44145256
2022-02-25,2022-02-25T00:00:00Z,14584129.171734562
2022-02-26,2022-02-26T00:00:00Z,11498950.070660476
2022-02-27,2022-02-27T00:00:00Z,10256350.70720368
2022-02-28,2022-02-28T00:00:00Z,19155509.167922456
2022-03-01,2022-03-01T00:00:00Z,16003644.973727752
2022-03-02,2022-03-02T00:00:00Z,14492139.233414875
2022-03-03,2022-03-03T00:00:00Z,12556301.199248424
2022-03-04,2022-03-04T00:00:00Z,11337581.926582024
2022-03-05,2022-03-05T00:00:00Z,8475284.699136795
2022-03-06,2022-03-06T00:00:00Z,11064024.058486316
2022-03-07,2022-03-07T00:00:00Z,8862463.52545389
2022-03-08,2022-03-08T00:00:00Z,8661787.632804023
2022-03-09,2022-03-09T00:00:00Z,9282410.224417534
2022-03-10,2022-03-10T00:00:00Z,7561472.054772815
2022-03-11,2022-03-11T00:00:00Z,6858619.367724198
2022-03-12,2022-03-12T00:00:00Z,5359943.687009956
2022-03-13,2022-03-13T00:00:00Z,6121023.51427224
2022-03-14,2022-03-14T00:00:00Z,7389898.735258151
2022-03-15,2022-03-15T00:00:00Z,8633460.427193185
2022-03-16,2022-03-16T00:00:00Z,10076345.38601146
2022-03-17,2022-03-17T00:00:00Z,15707681.067078084
2022-03-18,2022-03-18T00:00:00Z,14621756.566130122
2022-03-19,2022-03-19T00:00:00Z,7967560.793918612
2022-03-20,2022-03-20T00:00:00Z,6429980.426379205
2022-03-21,2022-03-21T00:00:00Z,8461863.32259513
2022-03-22,2022-03-22T00:00:00Z,10893225.903320542
2022-03-23,2022-03-23T00:00:00Z,10425069.660766523
2022-03-24,2022-03-24T00:00:00Z,14072020.020109272
2022-03-25,2022-03-25T00:00:00Z,13128211.669213671
2022-03-26,2022-03-26T00:00:00Z,9017733.176626263
2022-03-27,2022-03-27T00:00:00Z,13209557.399460193
2022-03-28,2022-03-28T00:00:00Z,23817056.68542068
2022-03-29,2022-03-29T00:00:00Z,14132216.870880747
2022-03-30,2022-03-30T00:00:00Z,16059541.095138216
2022-03-31,2022-03-31T00:00:00Z,15348007.708881326
2022-04-01,2022-04-01T00:00:00Z,20662025.21646064
2022-04-02,2022-04-02T00:00:00Z,16696904.36016947
2022-04-03,2022-04-03T00:00:00Z,17180531.87479553
2022-04-04,2022-04-04T00:00:00Z,20280595.036563206
2022-04-05,2022-04-05T00:00:00Z,35310819.92370508
2022-04-06,2022-04-06T00:00:00Z,16928971.61629673
2022-04-07,2022-04-07T00:00:00Z,18731156.081684835
2022-04-08,2022-04-08T00:00:00Z,16262709.67765846
2022-04-09,2022-04-09T00:00:00Z,10603205.78432236
2022-04-10,2022-04-10T00:00:00Z,10207210.952400671
2022-04-11,2022-04-11T00:00:00Z,12565816.876064377
