date,Supply-Adjusted CDD
2023-11-18,0.21472526
2023-11-19,0.38172623
2023-11-20,0.46383674
2023-11-21,0.67893207
2023-11-22,0.8210386
2023-11-23,0.15479357
2023-11-24,0.27317712
2023-11-25,0.15598073
2023-11-26,0.31006176
2023-11-27,0.22948157
2023-11-28,0.35350048
2023-11-29,0.34338466
2023-11-30,1.66594903
2023-12-01,0.43063557
2023-12-02,0.24146603
2023-12-03,0.22855249
2023-12-04,0.98778654
2023-12-05,0.68685113
2023-12-06,1.09077273
2023-12-07,0.56082938
2023-12-08,0.52626768
2023-12-09,0.30284138
2023-12-10,0.24041715
2023-12-11,0.60390943
2023-12-12,0.98948668
2023-12-13,0.31480808
2023-12-14,0.24840203
2023-12-15,0.75885546
2023-12-16,0.42519116
2023-12-17,0.14210607
2023-12-18,0.87828224
2023-12-19,0.51767404
2023-12-20,0.59332274
2023-12-21,0.40699565
2023-12-22,0.84264887
2023-12-23,0.33600136
2023-12-24,1.02870372
2023-12-25,0.23816625
2023-12-26,0.40428157
2023-12-27,2.86151823
2023-12-28,0.4665732
2023-12-29,1.59289695
2023-12-30,0.47178598
2023-12-31,0.29739092
2024-01-01,0.19487417
2024-01-02,0.60501199
2024-01-03,0.54991762
2024-01-04,3.46262277
2024-01-05,0.4500667
2024-01-06,0.19377202
2024-01-07,0.23706082
2024-01-08,0.43484279
2024-01-09,0.66889257
2024-01-10,0.55393872
2024-01-11,0.5796957
2024-01-12,0.63373566
2024-01-13,0.20852028
2024-01-14,0.31003092
2024-01-15,0.33149231
2024-01-16,5.34113909
2024-01-17,1.28874053
2024-01-18,1.12136906
2024-01-19,0.84821762
2024-01-20,0.16212352
2024-01-21,0.13119248
2024-01-22,1.3333904
2024-01-23,1.14272257
2024-01-24,2.94528999
2024-01-25,1.33528415
2024-01-26,0.84777886
2024-01-27,0.25205237
2024-01-28,0.1507878
2024-01-29,0.70136219
2024-01-30,1.10935076
2024-01-31,1.01457661
2024-02-01,0.52743734
2024-02-02,0.67501018
2024-02-03,0.10749602
2024-02-04,0.34839199
2024-02-05,0.58925818
2024-02-06,1.36952689
2024-02-07,0.49387555
2024-02-08,0.42902027
2024-02-09,0.50103117
2024-02-10,0.2995701
2024-02-11,0.31948334
2024-02-12,0.7089241
2024-02-13,0.54821307
2024-02-14,1.21306124
2024-02-15,0.74253004
2024-02-16,0.73783317
2024-02-17,0.28480699
2024-02-18,0.25805156
2024-02-19,2.0862656
2024-02-20,0.46977842
2024-02-21,0.67242297
2024-02-22,1.02400899
2024-02-23,0.76930752
2024-02-24,0.23301988
2024-02-25,0.24742339
2024-02-26,0.57571951
2024-02-27,0.95495893
2024-02-28,2.46638827
2024-02-29,1.57491988
2024-03-01,3.42849146
2024-03-02,0.32138742
2024-03-03,0.38099181
2024-03-04,1.42713241
2024-03-05,2.31781857
2024-03-06,3.53202314
2024-03-07,1.70867561
2024-03-08,1.51953486
2024-03-09,0.53084062
2024-03-10,1.03947718
2024-03-11,1.42031463
2024-03-12,1.06764118
2024-03-13,1.67178662
2024-03-14,1.90465382
2024-03-15,0.85680262
2024-03-16,0.37147899
2024-03-17,1.8796812
2024-03-18,0.84633165
2024-03-19,0.67090515
2024-03-20,0.73688949
2024-03-21,1.29564219
2024-03-22,1.8990103
2024-03-23,8.28794957
2024-03-24,0.61277456
2024-03-25,3.56200936
2024-03-26,1.31323388
2024-03-27,0.60691224
2024-03-28,2.0881025
2024-03-29,0.45275317
2024-03-30,0.29400378
2024-03-31,0.41222254
2024-04-01,3.68944847
2024-04-02,1.37593336
2024-04-03,0.50941682
2024-04-04,0.48693634
2024-04-05,0.30980411
2024-04-06,0.37074495
2024-04-07,0.26956096
2024-04-08,0.48692561
2024-04-09,0.60337305
2024-04-10,0.39717878
2024-04-11,0.3324529
2024-04-12,0.47217473
2024-04-13,0.26156211
2024-04-14,0.336872
2024-04-15,0.50156166
2024-04-16,1.24758551
2024-04-17,0.4535375
2024-04-18,1.06727431
2024-04-19,0.59575837
2024-04-20,0.13175483
2024-04-21,0.17783473
2024-04-22,0.28950155
2024-04-23,0.4111304
2024-04-24,1.13822571
2024-04-25,0.35006143
2024-04-26,0.3705412
2024-04-27,0.45740213
2024-04-28,0.35898051
2024-04-29,0.4565939
2024-04-30,0.76620811
2024-05-01,0.49478758
2024-05-02,0.40467999
2024-05-03,0.46754137
2024-05-04,0.15449071
2024-05-05,0.12857743
2024-05-06,0.49974262
2024-05-07,0.24826234
2024-05-08,0.36876008
2024-05-09,0.26548104
2024-05-10,0.23848264
2024-05-11,0.23343207
2024-05-12,0.43461549
2024-05-13,0.35690835
2024-05-14,0.49653641
2024-05-15,2.09575315
2024-05-16,0.38187463
2024-05-17,0.40450595
2024-05-18,0.16861618
2024-05-19,0.24530278
2024-05-20,0.47872306
2024-05-21,0.55338957
2024-05-22,0.88603306
2024-05-23,0.6211671
2024-05-24,0.44908497
2024-05-25,0.12940572
2024-05-26,0.34311354
2024-05-27,0.5390682
2024-05-28,26.3015509
2024-05-29,0.33191398
2024-05-30,0.44747757
2024-05-31,0.3190862
2024-06-01,0.20688691
2024-06-02,0.23902331
2024-06-03,0.83340787
2024-06-04,0.47289679
2024-06-05,0.53449909
2024-06-06,0.96732881
2024-06-07,0.38640462
2024-06-08,0.2869395
2024-06-09,0.2275399
2024-06-10,0.32070299
2024-06-11,2.34061725
2024-06-12,0.53970586
2024-06-13,0.2234497
2024-06-14,0.3436369
2024-06-15,0.50159405
2024-06-16,0.12526774
2024-06-17,0.52146921
2024-06-18,0.30948118
2024-06-19,0.26123618
2024-06-20,0.27851291
2024-06-21,0.56614852
2024-06-22,2.95751188
