date,Sum Coin Age
2024-01-29,30293336005.558083
2024-01-30,30291515182.906616
2024-01-31,30290790253.26578
2024-02-01,30300341402.13641
2024-02-02,30306599725.20904
2024-02-03,30324050249.67356
2024-02-04,30336954780.61088
2024-02-05,30345220139.45187
2024-02-06,30337959766.25155
2024-02-07,30347803411.13457
2024-02-08,30358785964.42492
2024-02-09,30368878507.197315
2024-02-10,30382655974.30501
2024-02-11,30395675771.474106
2024-02-12,30401697807.69981
2024-02-13,30410549226.255547
2024-02-14,30406382497.136272
2024-02-15,30411394113.02957
2024-02-16,30416618600.606422
2024-02-17,30430637479.63604
2024-02-18,30445224259.655403
2024-02-19,30423908323.148464
2024-02-20,30434280806.91135
2024-02-21,30440418019.892467
2024-02-22,30439837312.00244
2024-02-23,30444805966.98709
2024-02-24,30459851311.267303
2024-02-25,30474580416.4539
2024-02-26,30482891378.1441
2024-02-27,30483569617.117268
2024-02-28,30455045564.13574
2024-02-29,30443596137.412323
2024-03-01,30396053183.577484
2024-03-02,30409099946.208755
2024-03-03,30421402483.38576
2024-03-04,30413161200.591644
2024-03-05,30387195570.810604
2024-03-06,30337537696.14673
2024-03-07,30323583653.07984
2024-03-08,30313364917.53913
2024-03-09,30322390671.672653
2024-03-10,30321823912.36015
2024-03-11,30313325797.09626
2024-03-12,30312166609.02959
2024-03-13,30298986479.78046
2024-03-14,30281253744.975098
2024-03-15,30284056569.53076
2024-03-16,30296347190.329777
2024-03-17,30279106140.24668
2024-03-18,30281987735.48145
2024-03-19,30288486446.046806
2024-03-20,30293791400.58407
2024-03-21,30287952104.870224
2024-03-22,30270241293.26595
2024-03-23,30126922770.65514
2024-03-24,30134476403.998493
2024-03-25,30084217604.644794
2024-03-26,30077957883.872944
2024-03-27,30085774676.229565
2024-03-28,30064282507.811573
2024-03-29,30075112848.610508
2024-03-30,30088926610.350044
2024-03-31,30100457785.91204
2024-04-01,30047580860.4353
2024-04-02,30040166512.65939
2024-04-03,30049840071.2715
2024-04-04,30060020907.64004
2024-04-05,30073620957.93828
2024-04-06,30085919259.168343
2024-04-07,30100224107.0924
2024-04-08,30110457770.86805
2024-04-09,30118240590.076508
2024-04-10,30130129586.792248
2024-04-11,30143137166.70816
2024-04-12,30153592864.6543
2024-04-13,30168022754.02831
2024-04-14,30181108439.03149
2024-04-15,30190884503.062164
2024-04-16,30186158838.6366
2024-04-17,30196674577.90208
2024-04-18,30195414407.723297
2024-04-19,30203562233.56102
2024-04-20,30220492555.84548
2024-04-21,30236738634.15629
2024-04-22,30250843905.91179
2024-04-23,30262423831.273243
2024-04-24,30259609852.65782
2024-04-25,30271630395.847275
2024-04-26,30284769017.000835
2024-04-27,30295572345.880844
2024-04-28,30307952295.90332
2024-04-29,30318806413.942184
2024-04-30,30323441115.53608
2024-05-01,30333412067.82266
2024-05-02,30344982902.902702
2024-05-03,30355292778.971493
2024-05-04,30371619510.613457
2024-05-05,30389420010.00371
2024-05-06,30399275787.83025
2024-05-07,30414021111.22349
2024-05-08,30426499626.018787
2024-05-09,30440978426.42018
2024-05-10,30455922558.34257
2024-05-11,30471082557.26534
2024-05-12,30481978038.57745
2024-05-13,30494891844.99811
2024-05-14,30504482564.729782
2024-05-15,30483196180.81667
2024-05-16,30495232116.768604
2024-05-17,30507021329.48193
2024-05-18,30523407030.43409
2024-05-19,30538028082.5504
2024-05-20,30548614977.06309
2024-05-21,30557399078.48628
2024-05-22,30559697568.61285
2024-05-23,30567185671.560966
2024-05-24,30577641985.252617
2024-05-25,30595040928.422195
2024-05-26,30608052193.028435
2024-05-27,30617049791.14552
2024-05-28,30118259518.390984
2024-05-29,30131781064.881664
2024-05-30,30142507713.931896
2024-05-31,30155896256.693897
2024-06-01,30171603153.81517
2024-06-02,30186603628.03633
2024-06-03,30189881487.64003
2024-06-04,30200247508.155407
2024-06-05,30209575084.17103
2024-06-06,30209891661.18195
2024-06-07,30222215992.491985
2024-06-08,30236252621.99478
2024-06-09,30251356790.849407
2024-06-10,30264755530.66505
2024-06-11,30238585906.46188
2024-06-12,30247608352.17931
2024-06-13,30262946230.21052
2024-06-14,30275598835.9684
2024-06-15,30285525102.4384
2024-06-16,30302936377.671856
2024-06-17,30312192275.85865
2024-06-18,30325996945.688988
2024-06-19,30340478127.75754
2024-06-20,30354796516.85968
2024-06-21,30363320688.19977
2024-06-22,30324714176.65064
2024-06-23,30340949050.77616
2024-06-24,30341833936.729183
2024-06-25,30354331428.448406
2024-06-26,30363657595.0154
2024-06-27,30338016203.95984
2024-06-28,30347596450.357365
2024-06-29,30365179322.351948
2024-06-30,30381124755.927315
2024-07-01,30391774808.16136
2024-07-02,30406005983.15692
2024-07-03,30399967916.89588
2024-07-04,30404470141.85928
2024-07-05,30377541145.14147
2024-07-06,30393447591.188663
2024-07-07,30406670096.73912
2024-07-08,30420785785.972336
2024-07-09,30419841263.32855
2024-07-10,30423301281.418587
2024-07-11,30438744786.89568
2024-07-12,30450317522.80394
2024-07-13,30466564602.694405
2024-07-14,30479837753.90239
2024-07-15,30489438276.682
2024-07-16,30500522356.214737
2024-07-17,30510313619.289265
2024-07-18,30514415056.68279
2024-07-19,30505963311.169323
2024-07-20,30522249300.88596
2024-07-21,30538726183.62096
2024-07-22,30551192785.924744
2024-07-23,30511350394.851208
2024-07-24,30522125219.98115
2024-07-25,30524157622.11085
2024-07-26,30536873857.251377
2024-07-27,30548748428.89432
2024-07-28,30563701145.71295
2024-07-29,30567557863.720444
2024-07-30,30537485754.792248
2024-07-31,30550249172.12537
2024-08-01,30555967948.94235
2024-08-02,30567542465.727787
2024-08-03,30579485049.129967
2024-08-04,30593167652.68803
2024-08-05,30576953504.97031
2024-08-06,30591118164.96189
2024-08-07,30593949624.042755
2024-08-08,30606867746.59456
2024-08-09,30616837492.880344
2024-08-10,30620410685.21503
2024-08-11,30637263070.13403
2024-08-12,30649668487.126904
2024-08-13,30662369044.986053
2024-08-14,30676960287.788204
2024-08-15,30689113089.69687
2024-08-16,30702981374.26348
2024-08-17,30720379610.788094
2024-08-18,30736709612.37986
2024-08-19,30748851178.50028
2024-08-20,30761445567.876457
2024-08-21,30772069673.34586
2024-08-22,30785669812.790527
2024-08-23,30795984928.48946
2024-08-24,30811724240.552
2024-08-25,30829314387.96895
2024-08-26,30843071259.9407
2024-08-27,30842614148.92706
2024-08-28,30855541926.25809
2024-08-29,30834436040.1516
2024-08-30,30849179744.91801
2024-08-31,30861356816.01839
2024-09-01,30879052014.33852
2024-09-02,30894686813.133434
2024-09-03,30906014975.004707
2024-09-04,30915732050.82713
2024-09-05,30929189689.807938
2024-09-06,30936494932.776543
2024-09-07,30954335714.06972
2024-09-08,30972280822.985683
2024-09-09,30980059933.50699
2024-09-10,30989760308.85295
2024-09-11,31002834290.32344
2024-09-12,31016267677.21492
2024-09-13,31020743353.272545
