date,NVM Ratio
2023-04-17,0.56294085
2023-04-18,0.44395574
2023-04-19,0.56279218
2023-04-20,0.60393238
2023-04-21,0.51530483
2023-04-22,0.58149352
2023-04-23,0.55053298
2023-04-24,0.50658632
2023-04-25,0.57292851
2023-04-26,0.524629
2023-04-27,0.56649929
2023-04-28,0.46149718
2023-04-29,0.55256081
2023-04-30,0.49402137
2023-05-01,0.33208665
2023-05-02,0.55153282
2023-05-03,0.46514882
2023-05-04,0.47666005
2023-05-05,0.60928549
2023-05-06,0.46897764
2023-05-07,0.5935901
2023-05-08,0.5123991
2023-05-09,0.45508062
2023-05-10,0.35067063
2023-05-11,0.43264505
2023-05-12,0.47467593
2023-05-13,0.49282997
2023-05-14,0.3837166
2023-05-15,0.46300424
2023-05-16,0.43134711
2023-05-17,0.40317418
2023-05-18,0.50206515
2023-05-19,0.44858067
2023-05-20,0.64021126
2023-05-21,0.52179451
2023-05-22,0.49112853
2023-05-23,0.47931583
2023-05-24,0.52211076
2023-05-25,0.43879036
2023-05-26,0.42846906
2023-05-27,0.48617058
2023-05-28,0.53118926
2023-05-29,0.44433196
2023-05-30,0.46224355
2023-05-31,0.54691694
2023-06-01,0.56630293
2023-06-02,0.41908089
2023-06-03,0.61178286
2023-06-04,0.57953995
2023-06-05,0.53726241
2023-06-06,0.40950107
2023-06-07,0.46725972
2023-06-08,0.46279847
2023-06-09,0.41447915
2023-06-10,0.47901467
2023-06-11,0.48796803
2023-06-12,0.44481933
2023-06-13,0.48169497
2023-06-14,0.63572585
2023-06-15,0.47710414
2023-06-16,0.42898299
2023-06-17,0.51034498
2023-06-18,0.55406859
2023-06-19,0.5087495
2023-06-20,0.56928544
2023-06-21,0.67561631
2023-06-22,0.55450296
2023-06-23,0.6365964
2023-06-24,0.55855591
2023-06-25,0.63064177
2023-06-26,0.51153519
2023-06-27,0.56863921
2023-06-28,0.80555548
2023-06-29,0.53438539
2023-06-30,0.42058635
2023-07-01,0.63422271
2023-07-02,0.5121748
2023-07-03,0.63722925
2023-07-04,0.54445316
2023-07-05,0.50558394
2023-07-06,0.53584601
2023-07-07,0.40841665
2023-07-08,0.39910405
2023-07-09,0.42215053
2023-07-10,0.49064188
2023-07-11,0.58746688
2023-07-12,0.53602969
2023-07-13,0.69351131
2023-07-14,0.52520975
2023-07-15,0.57611953
2023-07-16,0.49256103
2023-07-17,0.57021462
2023-07-18,0.42655779
2023-07-19,0.53687198
2023-07-20,0.6004254
2023-07-21,0.7292509
2023-07-22,0.6319712
2023-07-23,0.53282197
2023-07-24,0.48454013
2023-07-25,0.55334386
2023-07-26,0.4989016
2023-07-27,0.54286296
2023-07-28,0.5375298
2023-07-29,0.62079257
2023-07-30,0.40650082
2023-07-31,0.54157111
2023-08-01,0.52594004
2023-08-02,0.43916578
2023-08-03,0.42451784
2023-08-04,0.6283923
2023-08-05,0.4765666
2023-08-06,0.47243184
2023-08-07,0.52137195
2023-08-08,0.686408
2023-08-09,0.42031719
2023-08-10,0.63829025
2023-08-11,0.46763114
2023-08-12,0.52226687
2023-08-13,0.58445213
2023-08-14,0.42454648
2023-08-15,0.41170771
2023-08-16,0.41897695
2023-08-17,0.39895138
2023-08-18,0.47527199
2023-08-19,0.47031839
2023-08-20,0.39442956
2023-08-21,0.3960063
2023-08-22,0.49436706
2023-08-23,0.49148127
2023-08-24,0.49522203
2023-08-25,0.50471356
2023-08-26,0.51755773
2023-08-27,0.67013641
2023-08-28,0.63702478
2023-08-29,0.42640945
2023-08-30,0.55701157
2023-08-31,0.43946085
2023-09-01,0.43432115
2023-09-02,0.41433756
2023-09-03,0.4192529
2023-09-04,0.42575755
2023-09-05,0.54328448
2023-09-06,0.43705747
2023-09-07,0.430068
2023-09-08,0.45493319
2023-09-09,0.39757045
2023-09-10,0.43641686
2023-09-11,0.37140996
2023-09-12,0.44986829
2023-09-13,0.43259112
2023-09-14,0.37540277
2023-09-15,0.30243446
2023-09-16,0.42184078
2023-09-17,0.45366136
2023-09-18,0.38407568
2023-09-19,0.47424729
2023-09-20,0.42000173
2023-09-21,0.42779172
2023-09-22,0.48801071
2023-09-23,0.37553244
2023-09-24,0.42319379
2023-09-25,0.41085677
2023-09-26,0.47224712
2023-09-27,0.41962209
2023-09-28,0.41812279
2023-09-29,0.45701538
2023-09-30,0.49040889
2023-10-01,0.53403304
2023-10-02,0.41897807
2023-10-03,0.34881575
2023-10-04,0.59858268
2023-10-05,0.54079108
2023-10-06,0.58103281
2023-10-07,0.64176969
2023-10-08,0.67028854
2023-10-09,0.52693303
2023-10-10,0.50245069
2023-10-11,0.65857619
2023-10-12,0.64008707
2023-10-13,0.61158669
2023-10-14,0.68061943
2023-10-15,0.69348753
2023-10-16,0.48898619
2023-10-17,0.5914458
2023-10-18,0.62805805
2023-10-19,0.6551641
2023-10-20,0.61753472
2023-10-21,0.61703763
2023-10-22,0.75663336
2023-10-23,0.46876203
2023-10-24,0.60884824
2023-10-25,0.52988766
2023-10-26,0.52420707
2023-10-27,0.49273821
2023-10-28,0.52266793
2023-10-29,0.66840767
2023-10-30,0.46808963
2023-10-31,0.53912441
2023-11-01,0.56708224
2023-11-02,0.55056671
2023-11-03,0.59105587
2023-11-04,0.42940629
2023-11-05,0.44386785
2023-11-06,0.57129651
2023-11-07,0.57583816
2023-11-08,0.50751929
2023-11-09,0.55774945
2023-11-10,0.47380836
2023-11-11,0.5201955
2023-11-12,0.53399534
2023-11-13,0.63928673
2023-11-14,0.56495479
2023-11-15,0.5811543
2023-11-16,0.56004165
2023-11-17,0.49884294
2023-11-18,0.58341738
2023-11-19,0.49441026
2023-11-20,0.46684684
2023-11-21,0.55540385
2023-11-22,0.58860245
2023-11-23,1.24844678
2023-11-24,0.45364632
2023-11-25,0.59088414
2023-11-26,0.68056712
2023-11-27,0.72297064
