date,NVT Ratio
2025-03-27,35.63520837
2025-03-28,28.65421262
2025-03-29,44.58290371
2025-03-30,49.38144315
2025-03-31,27.94933857
2025-04-01,35.15172752
2025-04-02,31.83825672
2025-04-03,29.86223236
2025-04-04,34.14908128
2025-04-05,55.09711968
2025-04-06,43.36499413
2025-04-07,25.56504148
2025-04-08,31.53427784
2025-04-09,26.57417706
2025-04-10,28.63309503
2025-04-11,30.18414451
2025-04-12,46.99484566
2025-04-13,47.10695138
2025-04-14,37.02960257
2025-04-15,29.19133213
2025-04-16,37.04444594
2025-04-17,26.71496705
2025-04-18,37.24443629
2025-04-19,52.12078475
2025-04-20,58.75229319
2025-04-21,33.78174831
2025-04-22,27.25062051
2025-04-23,20.70305599
2025-04-24,26.60090838
2025-04-25,25.73286246
2025-04-26,53.2004485
2025-04-27,49.79394141
2025-04-28,28.4729509
2025-04-29,27.29053609
2025-04-30,29.96869882
2025-05-01,25.86336026
2025-05-02,25.92705276
2025-05-03,38.92627351
2025-05-04,39.65187182
2025-05-05,24.50456342
2025-05-06,27.70504769
2025-05-07,26.91918824
2025-05-08,27.68018268
2025-05-09,23.61058175
2025-05-10,42.08821925
2025-05-11,40.52941926
2025-05-12,28.42190357
2025-05-13,26.53629229
2025-05-14,27.76548511
2025-05-15,26.48918717
2025-05-16,31.19480288
2025-05-17,52.81311112
2025-05-18,50.67839416
2025-05-19,31.0173888
2025-05-20,28.47552427
2025-05-21,24.18957257
2025-05-22,19.32299782
2025-05-23,23.517829
2025-05-24,43.33757046
2025-05-25,46.83139001
2025-05-26,35.4539119
2025-05-27,31.43737909
2025-05-28,27.37483558
2025-05-29,32.74415553
2025-05-30,27.81895921
2025-05-31,47.9404794
2025-06-01,44.69368595
2025-06-02,26.15621614
2025-06-03,25.40498843
2025-06-04,28.358199
2025-06-05,28.32361324
2025-06-06,31.75516922
2025-06-07,49.47691384
2025-06-08,50.92132793
2025-06-09,34.69827541
2025-06-10,27.41241434
2025-06-11,31.61954362
2025-06-12,36.48802141
2025-06-13,30.82878135
2025-06-14,56.8118474
2025-06-15,71.23406992
2025-06-16,33.87278743
2025-06-17,28.64803521
2025-06-18,33.36727942
2025-06-19,45.8344885
2025-06-20,34.45144095
2025-06-21,60.90067113
2025-06-22,39.75249257
2025-06-23,31.34100182
2025-06-24,28.78542109
2025-06-25,27.67225116
