date,Fees USD (Total)
2021-04-14,8627884.66063589
2021-04-15,9767398.14600412
2021-04-16,8647743.33036857
2021-04-17,10046594.77568306
2021-04-18,12124819.88319296
2021-04-19,12112810.62278955
2021-04-20,16766922.09300553
2021-04-21,14171450.50620551
2021-04-22,16114688.0466789
2021-04-23,13445416.95840309
2021-04-24,8425054.8715484
2021-04-25,5766031.22439519
2021-04-26,8903718.10173431
2021-04-27,8855537.05300771
2021-04-28,7441021.23634929
2021-04-29,7789615.93953342
2021-04-30,7924635.56044116
2021-05-01,5901328.94432657
2021-05-02,4827542.11743827
2021-05-03,6418897.84619358
2021-05-04,5487342.05106424
2021-05-05,5608308.88289314
2021-05-06,6221670.91531044
2021-05-07,5940540.29219275
2021-05-08,5106854.68567954
2021-05-09,4058381.87452991
2021-05-10,5811732.05531951
2021-05-11,4568337.47723272
2021-05-12,4287695.88964232
2021-05-13,3575117.02572636
2021-05-14,3678320.13387873
2021-05-15,3051946.62330636
2021-05-16,2468617.76720107
2021-05-17,3367805.48722048
2021-05-18,2957239.11668134
2021-05-19,4761337.30585822
2021-05-20,5286639.75327606
2021-05-21,5079588.13943457
2021-05-22,3836529.99162958
2021-05-23,2824344.39629625
2021-05-24,3603959.53170303
2021-05-25,3261365.58310083
2021-05-26,3056621.93668014
2021-05-27,2566987.59505641
2021-05-28,2547514.02810295
2021-05-29,1668956.77498928
2021-05-30,1298433.35362994
2021-05-31,1651386.06928108
2021-06-01,1728004.56742855
2021-06-02,1909875.12420674
2021-06-03,1923049.20347096
2021-06-04,1568739.63133287
2021-06-05,1083743.96534786
2021-06-06,812037.85789537
2021-06-07,1234102.35029008
2021-06-08,1156474.57240565
2021-06-09,1179764.02801742
2021-06-10,1715028.07166328
2021-06-11,1506821.81479116
2021-06-12,1269090.25565409
2021-06-13,848931.62495183
2021-06-14,1499113.69104981
2021-06-15,1557883.50676014
2021-06-16,1538272.0166515
2021-06-17,1209543.41536165
2021-06-18,1140813.34034706
2021-06-19,880187.90721398
2021-06-20,794736.41264237
2021-06-21,1321955.64974945
2021-06-22,1526849.27860585
2021-06-23,1889616.97738501
2021-06-24,1626222.16716245
2021-06-25,1467078.70834857
2021-06-26,924833.00689994
2021-06-27,863091.11670019
2021-06-28,1848853.17590901
2021-06-29,1896095.55978321
2021-06-30,2132831.01774917
2021-07-01,2487102.12995694
2021-07-02,2062767.24773392
2021-07-03,2028304.97137162
2021-07-04,1533447.02907066
2021-07-05,1617872.2104946
2021-07-06,1608243.41266836
2021-07-07,1308704.11449483
2021-07-08,962275.02579785
2021-07-09,892408.10191434
2021-07-10,646945.07429289
2021-07-11,626547.36841279
2021-07-12,965151.20676846
2021-07-13,1039377.48805966
2021-07-14,809623.59423029
