date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2025-05-04,96455.0,104805.0,93690.0,103635.0,260070,24512,,,,
2025-05-11,104705.0,106270.0,101055.0,104425.0,244095,25523,,,,
2025-05-18,104415.0,112330.0,102330.0,108885.0,417008,28354,,,,
2025-05-25,107860.0,110965.0,104225.0,105130.0,179065,20778,,,,
2025-06-01,105755.0,107495.0,100800.0,104770.0,259564,26014,,,,
2025-06-08,106585.0,110915.0,103010.0,105380.0,265263,30055,,,,
2025-06-15,105140.0,109320.0,102425.0,103420.0,202970,30192,,,,
2025-06-22,100005.0,109090.0,98920.0,107485.0,166808,17753,,,,
2025-06-29,108245.0,111225.0,105420.0,110415.0,185981,24634,,,,
2025-07-03,109505.0,119450.0,107685.0,118530.0,292848,29968,,,,
2025-07-13,118900.0,123610.0,116075.0,117565.0,404611,27992,,,,
2025-07-20,117945.0,122000.0,115675.0,117860.0,268740,23247,,,,
2025-07-27,120050.0,121260.0,113425.0,113570.0,359528,28702,,,,
2025-08-03,114520.0,118405.0,113030.0,116955.0,232319,25223,,,,
2025-08-10,119045.0,125235.0,117170.0,117235.0,398612,28556,,,,
2025-08-17,117970.0,118390.0,111795.0,116850.0,301530,30728,,,,
2025-08-24,113460.0,114265.0,108025.0,108775.0,230631,21902,,,,
2025-08-31,109460.0,113805.0,107760.0,111955.0,261034,21096,,,,
2025-09-07,111535.0,117325.0,111000.0,117265.0,233832,27962,,,,
2025-09-14,116710.0,118280.0,114630.0,115265.0,303312,23283,,,,
2025-09-21,115560.0,115695.0,109200.0,109770.0,223382,22956,,,,
2025-09-28,111210.0,125025.0,111210.0,123635.0,338593,29948,,,,
2025-10-05,123630.0,127240.0,113210.0,116990.0,350150,26710,,,,
2025-10-12,115540.0,116570.0,103740.0,106675.0,409830,38045,,,,
2025-10-19,108850.0,114360.0,106900.0,110740.0,374507,34397,,,,
2025-10-26,113385.0,116550.0,106735.0,110320.0,255323,22221,,,,
2025-11-02,110390.0,111320.0,99205.0,104030.0,481834,28746,,,,
2025-11-09,104895.0,107925.0,94225.0,94365.0,442602,31962,,,,
2025-11-16,94275.0,96145.0,80745.0,84600.0,622807,29292,,,,
2025-11-23,87665.0,93645.0,85215.0,91065.0,201783,25415,,,,
2025-11-30,91610.0,94485.0,84125.0,89600.0,549114,31531,,,,
2025-12-07,89800.0,94965.0,89430.0,90440.0,424088,29130,,,,
2025-12-14,89030.0,90545.0,84485.0,88060.0,407002,25121,,,,
2025-12-21,88475.0,90685.0,86720.0,87960.0,136506,17307,,,,
2025-12-28,88155.0,91580.0,87085.0,90190.0,251608,23570,,,,
2026-01-04,91605.0,95270.0,89415.0,90405.0,311456,25729,,,,
2026-01-11,90700.0,98235.0,90170.0,95665.0,391209,28954,,,,
2026-01-18,95505.0,95655.0,87250.0,89500.0,278395,27288,,,,
2026-01-25,86600.0,90935.0,81285.0,84105.0,249303,18036,,,,
2026-02-01,77800.0,79690.0,60205.0,70260.0,802231,31924,,,,
2026-02-08,71050.0,72615.0,65180.0,68835.0,386020,27324,,,,
2026-02-15,69040.0,70190.0,65670.0,67825.0,255469,30345,,,,
2026-02-22,67705.0,70360.0,62580.0,65880.0,248237,18903,,,,
2026-03-01,65500.0,74365.0,65185.0,68295.0,433429,25261,,,,
2026-03-08,67225.0,74205.0,65680.0,71325.0,391661,22256,,,,
2026-03-15,73925.0,76200.0,68820.0,70220.0,325163,19833,,,,
2026-03-22,68320.0,72360.0,65690.0,66225.0,240895,17729,,,,
2026-03-29,66690.0,69600.0,65105.0,67135.0,255848,16698,,,,
2026-04-05,67670.0,73725.0,67550.0,73485.0,293836,20294,,,,
2026-04-12,71620.0,78540.0,70585.0,77600.0,321074,20130,,,,
